"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Tobis Film (AT)";"05/01/2017";"7 683";"143 329";"";"";"";"151 012"
"BA";"Blitz Film & Video Distribution (BA)";"30/03/2017";"";"3 896";"";"";"";"3 896"
"BE";"Belga Films (BE)";"07/12/2016";"170 329";"119 682";"6 222";"4 143";"747";"301 123"
"CH";"Impuls Pictures";"07/12/2016";"41 582";"195 467";"259";"10";"";"237 318"
"CZ";"Bohemia Motion Pictures (CZ)";"23/02/2017";"";"46 800";"270";"131";"308";"47 509"
"DE";"Tobis Film (DE)";"05/01/2017";"";"971 712";"3 012";"957";"296";"975 977"
"EE";"Acme (EE)";"23/12/2016";"4 520";"5 700";"";"";"";"10 220"
"ES";"A Contracorriente Films";"16/03/2017";"";"522 398";"";"1 320";"";"523 718"
"FR";"Mars Films (FR)";"";"1 735 937";"";"";"";"";"1 735 937"
"GR";"Odeon (GR)";"16/02/2017";"";"9 885";"";"";"";"9 885"
"HR";"Blitz Film & Video Distribution (HR)";"30/03/2017";"";"15 788";"";"";"";"15 788"
"HU";"Vertigo (HU)";"15/12/2016";"19 050";"13 143";"";"33";"";"32 226"
"IT";"Lucky Red";"20/04/2017";"";"1 153 128";"988";"";"";"1 154 116"
"LU";"Belga Film (LU)";"07/12/2016";"5 219";"5 508";"26";"";"";"10 753"
"LV";"Acme (LV)";"13/01/2017";"";"1 629";"";"";"";"1 629"
"NL";"Independent Films (NL)";"26/01/2017";"";"324 371";"1 716";"680";"128";"326 895"
"PL";"Monolith";"19/05/2017";"";"252 478";"1 466";"482";"";"254 426"
"PT";"NOS Lusomundo Audiovisuais (PT)";"06/04/2017";"";"14 906";"185";"";"";"15 091"
"RU";"Megogo Distribution (RU)";"12/01/2017";"";"377 415";"181";"";"";"377 596"
"SE";"Scanbox Entertainment (SE)";"04/08/2017";"";"19 284";"";"";"";"19 284"
"SI";"Blitz Film & Video Distribution (SI)";"16/03/2017";"";"5 023";"261";"";"";"5 284"
"SK";"Continental Film (SK)";"09/03/2017";"";"64 372";"508";"156";"51";"65 087"
"EUR EU";"";"";"1 942 738";"3 689 136";"14 654";"7 902";"1 530";"5 655 960"
"EUR OBS";"";"";"1 984 320";"4 265 914";"15 094";"7 912";"1 530";"6 274 770"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 69556"
