"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Filmladen";"20/03/2015";"";"58 886";"3 814";"452";"";"";"";"";"63 152"
"BA";"Blitz Film & Video Distribution (BA)";"04/06/2015";"";"347";"";"";"";"";"";"";"347"
"BE";"Belga Films (BE)";"17/12/2014";"79 977";"203 728";"2 757";"1 471";"1 222";"718";"309";"2 249";"290 182"
"CH";"Praesens Film";"17/12/2014";"29 272";"131 353";"1 139";"235";"470";"83";"";"553";"162 552"
"CY";"Odeon (CY)";"12/06/2015";"";"189";"";"";"";"";"";"";"189"
"CZ";"Film Europe (CZ)";"03/03/2016";"";"907";"3 736";"839";"939";"81";"2";"1 022";"6 504"
"DE";"LEONINE Distribution GmbH";"05/03/2015";"";"458 400";"14 911";"2 586";"2 040";"1 445";"607";"4 092";"479 989"
"DK";"Scanbox Entertainment (DK)";"14/05/2015";"";"20 397";"";"";"";"";"";"";"20 397"
"EE";"Punch Drunk Films(EE)";"09/04/2015";"";"2 387";"";"";"";"";"";"";"2 387"
"ES";"Vertigo Films (ES)";"24/04/2015";"";"388 789";"1 485";"43";"7";"193";"";"200";"390 517"
"FI";"Finnkino";"24/04/2015";"";"12 719";"20";"165";"";"";"";"";"12 904"
"FR";"Mars Films (FR)";"17/12/2014";"2 214 059";"";"";"";"";"";"";"";"2 214 059"
"GB";"E1 Entertainment";"11/09/2015";"";"3 325";"150";"65";"";"";"106";"106";"3 646"
"GR";"Odeon (GR)";"11/06/2015";"";"104 372";"2 453";"";"";"";"";"";"106 825"
"HR";"Blitz Film & Video Distribution (HR)";"04/06/2015";"";"1 705";"";"";"";"";"";"";"1 705"
"HU";"Vertigo (HU)";"23/07/2015";"";"15 563";"1 363";"212";"81";"72";"";"153";"17 291"
"IS";"Myndform";"24/01/2015";"";"1 259";"";"";"";"";"";"";"1 259"
"IT";"Bim Distribuzione";"26/03/2015";"";"599 672";"20 793";"790";"";"";"150";"150";"621 405"
"LU";"Belga Film (LU)";"17/12/2014";"2 009";"6 164";"";"";"21";"";"";"21";"8 194"
"NL";"Independent Films (NL)";"16/04/2015";"";"145 969";"4 682";"924";"573";"156";"";"729";"152 304"
"NO";"Norsk Filmdistribusjon";"22/05/2015";"";"11 810";"";"";"";"";"";"";"11 810"
"PL";"Monolith";"29/05/2015";"";"74 165";"2 497";"687";"2 590";"";"";"2 590";"79 939"
"PT";"NOS Lusomundo Audiovisuais (PT)";"13/08/2015";"";"78 018";"804";"";"";"";"175";"175";"78 997"
"RO";"IF-Independenta Film";"19/06/2015";"";"7 743";"22";"";"";"";"";"";"7 765"
"SE";"Scanbox Entertainment (SE)";"27/03/2015";"";"38 211";"15";"";"";"";"";"";"38 226"
"SK";"Film Europe (SK)";"26/11/2015";"";"471";"1 022";"7";"148";"16";"";"164";"1 664"
"TR";"M3 Film";"19/06/2015";"";"7 356";"1 472";"";"";"";"";"";"8 828"
"EUR EU";"";"";"2 296 045";"2 221 780";"60 524";"8 241";"7 621";"2 681";"1 349";"11 651";"4 598 241"
"EUR OBS";"";"";"2 325 317";"2 373 905";"63 135";"8 476";"8 091";"2 764";"1 349";"12 204";"4 783 037"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 47915"
