"Market";"Distributor";"Release date";"2017";"2018";"2019";"Total since 2017"
"AT";"Fox Int'l (AT)";"13/10/2017";"27 979";"";"";"27 979"
"DE";"20th Century Fox (DE)";"12/10/2017";"121 151";"2 414";"111";"123 676"
"DK";"SF Studios (DK)";"01/06/2017";"98 323";"";"";"98 323"
"ES";"Hispano Foxfilms";"09/06/2017";"686 431";"1 373";"";"687 804"
"FR";"20th Century Fox (FR)";"04/10/2017";"312 085";"";"";"312 085"
"GB";"20th Century Fox (GB)";"28/07/2017";"1 126 054";"48";"";"1 126 102"
"IT";"20th Century Fox (IT)";"01/11/2017";"352 767";"2 804";"";"355 571"
"NL";"Warner Bros.-20 Cent.Fox-catalogue";"12/10/2017";"226 708";"5 988";"";"232 696"
"NO";"20th Century Fox (NO)";"09/06/2017";"154 406";"194";"";"154 600"
"PL";"Imperial Cinepix";"21/07/2017";"302 159";"";"";"302 159"
"PT";"Big Picture 2 Films";"01/06/2017";"181 400";"300";"";"181 700"
"TR";"Tme";"02/06/2017";"201 724";"336";"";"202 060"
"EUR EU";"";"";"3 435 057";"12 927";"111";"3 448 095"
"EUR OBS";"";"";"3 791 187";"13 457";"111";"3 804 755"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017"
" - film_id : 72575"
