"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2012";"Total since 2007"
"AT";"Constantin Film (AT)";"27/09/2007";"72 980";"";"";"";"";"72 980"
"BE";"Kinepolis Film Distribution (BE)";"03/10/2007";"26 949";"";"";"";"";"26 949"
"CH";"Rialto Film (CH)";"29/11/2007";"15 963";"950";"";"";"";"16 913"
"CZ";"Falcon";"15/11/2007";"28 574";"7 192";"";"";"";"35 766"
"DE";"Constantin Film (DE)";"27/09/2007";"365 441";"";"";"";"";"365 441"
"DK";"Buena Vista (DK)";"09/11/2007";"19 273";"181";"13";"";"";"19 467"
"EE";"";"06/10/2007";"7 070";"";"";"";"";"7 070"
"ES";"Sony Pictures Releasing De Espana";"09/10/2007";"679 774";"127";"";"12";"";"679 913"
"FI";"Walt Disney (FI)";"02/11/2007";"17 031";"93";"";"";"";"17 124"
"FR";"Metropolitan Filmexport";"03/10/2007";"582 854";"";"";"";"519 145";"1 101 999"
"GB";"Sony Pictures (GB)";"12/10/2007";"518 059";"";"";"";"";"518 059"
"HU";"Intercom";"11/10/2007";"46 650";"";"";"";"";"46 650"
"IS";"";"";"3 878";"";"";"";"";"3 878"
"IT";"Sony Pictures (IT)";"12/10/2007";"311 811";"";"";"";"";"311 811"
"LV";"";"";"11 322";"";"";"";"";"11 322"
"NL";"RCV Entertainment";"15/11/2007";"21 439";"";"";"";"";"21 439"
"NO";"Walt Disney Studios Motion Pictures (NO)";"30/11/2007";"9 392";"2 656";"";"";"";"12 048"
"PL";"UIP (PL)";"16/11/2007";"83 016";"";"";"";"";"83 016"
"PT";"Columbia TriStar Warner (PT)";"25/10/2007";"96 199";"399";"";"";"";"96 598"
"RO";"Intercomfilm";"02/11/2007";"11 039";"660";"";"";"";"11 699"
"SE";"Sony Pictures Releasing (SE)";"05/10/2007";"59 699";"38";"";"";"";"59 737"
"SI";"Continental Film (SI)";"18/10/2007";"3 452";"230";"";"";"";"3 682"
"SK";"Itafilm";"01/11/2007";"14 625";"693";"";"";"";"15 318"
"TR";"UNP";"19/10/2007";"97 245";"";"";"";"";"97 245"
"EUR EU";"";"";"2 977 257";"9 613";"13";"12";"519 145";"3 506 040"
"EUR OBS";"";"";"3 103 735";"13 219";"13";"12";"519 145";"3 636 124"
"US_CA";"Sony-Screen Gems (US)";"21/09/2007";"7 361 726";"";"";"";"";"7 361 726"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2010, 2009, 2008, 2007"
" - film_id : 27921"
