"Market";"Distributor";"Release date";"2011";"2012";"2013";"2016";"Total since 2011"
"AT";"Elmo Movie World";"02/06/2011";"39 674";"";"";"";"39 674"
"BE";"Belga Films (BE)";"20/04/2011";"73 465";"";"";"";"73 465"
"BG";"A Plus Cinema";"08/04/2011";"21 629";"";"";"";"21 629"
"CH";"Rialto Film (CH)";"20/04/2011";"52 705";"23";"";"";"52 728"
"CZ";"Hollywood";"21/04/2011";"33 253";"62";"";"";"33 315"
"DE";"StudioCanal (DE)";"02/06/2011";"336 700";"";"";"";"336 700"
"DK";"";"";"13 572";"";"";"";"13 572"
"EE";"Acme (EE)";"08/04/2011";"10 566";"";"";"";"10 566"
"ES";"Aurum Producciones";"14/04/2011";"452 472";"";"30";"";"452 502"
"FI";"Sandrew Metronome Distribution";"";"16 355";"";"";"";"16 355"
"FR";"SND Films";"20/04/2011";"710 729";"";"";"";"710 729"
"GB";"StudioCanal (GB)";"01/04/2011";"999 884";"";"";"45";"999 929"
"GR";"Odeon (GR)";"";"43 435";"";"";"";"43 435"
"HR";"Blitz Film & Video Distribution (HR)";"09/06/2011";"13 821";"";"";"";"13 821"
"HU";"ProVideo";"21/04/2011";"39 733";"";"";"";"39 733"
"IT";"01 Distribution";"29/04/2011";"307 571";"";"54";"";"307 625"
"LT";"Acme (LT)";"08/04/2011";"10 155";"";"";"";"10 155"
"LV";"Acme (LV)";"08/04/2011";"11 485";"";"";"";"11 485"
"NL";"Entertainment One Benelux";"09/06/2011";"120 882";"";"";"";"120 882"
"NO";"Norsk Filmdistribusjon";"20/05/2011";"24 289";"";"";"";"24 289"
"PL";"Monolith";"06/05/2011";"184 045";"";"";"";"184 045"
"PT";"ZON Lusomundo Audiovisuais";"14/04/2011";"48 884";"";"";"";"48 884"
"RU";"Central Partnership (RU)";"31/03/2011";"757 300";"";"";"";"757 300"
"SE";"Noble Entertainment";"03/08/2011";"30 627";"";"";"";"30 627"
"SI";"Blitz Film & Video Distribution (SI)";"07/07/2011";"3 949";"";"";"";"3 949"
"SK";"Continental Film (SK)";"07/04/2011";"10 739";"";"";"";"10 739"
"TR";"Tiglon";"08/04/2011";"185 265";"";"";"";"185 265"
"EUR EU";"";"";"3 533 625";"62";"84";"45";"3 533 816"
"EUR OBS";"";"";"4 553 184";"85";"84";"45";"4 553 398"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2013, 2012, 2011"
" - film_id : 37092"
