"Market";"Distributor";"Release date";"2019";"2020";"Total since 2019"
"AT";"Constantin/Studiocanal";"26/07/2019";"20 919";"";"20 919"
"BE";"Alternative Films (BE)";"15/05/2019";"71 160";"463";"71 623"
"BG";"Pro Films (BG)";"06/12/2019";"16 697";"4 642";"21 339"
"CH";"Pathé Films (CH)";"17/05/2019";"66 681";"285";"66 966"
"CY";"Odeon (CY)";"26/12/2019";"306";"401";"707"
"CZ";"Bioscop (AQS)";"23/05/2019";"18 188";"1 866";"20 054"
"DE";"StudioCanal (DE)";"25/07/2019";"209 928";"5 957";"215 885"
"DK";"Scanbox Entertainment (DK)";"05/09/2019";"33 024";"";"33 024"
"EE";"VLG Film (EE)";"13/06/2019";"5 921";"196";"6 117"
"ES";"Sony Pictures Entertainment Iberia (ES)";"22/03/2019";"932 893";"";"932 893"
"FI";"Finnkino";"30/08/2019";"47 471";"1 415";"48 886"
"FR";"Pathé Distribution (FR)";"17/05/2019";"835 069";"15 843";"850 912"
"GB";"20th Century Fox (GB)";"23/08/2019";"211 086";"1 215";"212 301"
"GR";"Odeon (GR)";"31/10/2019";"60 174";"2 108";"62 282"
"HR";"Discovery (HR)";"28/11/2019";"8 263";"2 264";"10 527"
"HU";"Cinetel";"23/05/2019";"22 266";"487";"22 753"
"IS";"Samfilm";"06/03/2020";"";"512";"512"
"IT";"Warner Bros. (IT)";"17/05/2019";"517 403";"637";"518 040"
"LT";"VLG Film (LT)";"14/06/2019";"6 133";"480";"6 613"
"LU";"Alternative Film (LU)";"17/05/2019";"3 864";"";"3 864"
"LV";"VLG Filmas (LV)";"08/11/2019";"3 652";"274";"3 926"
"ME";"Cinefest (ME)";"";"523";"";"523"
"MK";"Cinemania Group (MK)";"";"1 771";"";"1 771"
"NL";"Cinéart Nederland";"19/09/2019";"129 333";"3 455";"132 788"
"NO";"Norsk Filmdistribusjon";"27/09/2019";"19 246";"286";"19 532"
"PL";"Gutek Film";"30/08/2019";"204 605";"";"204 605"
"PT";"Pris Audiovisuais";"05/09/2019";"46 834";"1 149";"47 983"
"RO";"IF-Independenta Film";"18/10/2019";"10 680";"1 696";"12 376"
"RU";"Volga (RU)";"12/06/2019";"88 037";"";"88 037"
"SE";"Scanbox Entertainment (SE)";"27/09/2019";"54 698";"";"54 698"
"SI";"Cinemania Group";"05/09/2019";"7 117";"797";"7 914"
"SK";"Magic Box Slovakia";"23/05/2019";"7 967";"286";"8 253"
"TR";"Bir Film";"11/10/2019";"25 185";"1 168";"26 353"
"EUR EU";"";"";"3 485 651";"45 631";"3 531 282"
"EUR OBS";"";"";"3 687 094";"47 882";"3 734 976"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019"
" - film_id : 82838"
