"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Warner Bros. (AT)";"04/12/2014";"28 308";"6 997";"";"";"";"";"";"";"35 305"
"BE";"Paradiso Filmed Entertainment";"06/08/2014";"46 901";"";"";"";"";"";"";"";"46 901"
"BG";"BS Films (BG)";"05/12/2014";"14 922";"";"";"";"";"";"";"";"14 922"
"CH";"Frenetic Films (CH)";"22/10/2014";"54 904";"7 186";"34";"";"";"";"";"";"62 124"
"CY";"Odeon (CY)";"";"1 227";"";"";"";"";"";"";"";"1 227"
"CZ";"Hollywood";"07/08/2014";"40 745";"681";"322";"64";"";"";"7";"7";"41 819"
"DE";"Warner Bros. (DE)";"04/12/2014";"162 853";"68 548";"";"";"";"";"";"";"231 401"
"DK";"Scanbox Entertainment (DK)";"14/07/2014";"36 166";"";"";"";"";"";"";"";"36 166"
"EE";"Acme Film";"10/10/2014";"12 340";"32";"";"";"";"";"";"";"12 372"
"ES";"Warner Bros. Entertainment Espana";"13/11/2014";"368 808";"51 843";"63";"";"";"";"";"";"420 714"
"FI";"Finnkino";"29/08/2014";"19 450";"167";"";"";"";"";"";"";"19 617"
"FR";"Mars Films (FR)";"22/10/2014";"1 056 158";"";"";"";"";"";"";"";"1 056 158"
"GB";"Warner Bros. (GB)";"19/09/2014";"145 522";"2 328";"";"";"";"";"";"";"147 850"
"GR";"Odeon (GR)";"";"105 870";"";"";"";"";"";"";"";"105 870"
"HR";"Discovery (HR)";"25/09/2014";"9 437";"";"";"";"";"";"";"";"9 437"
"HU";"Freeman Entertainment (HU)";"13/11/2014";"27 995";"1 015";"";"";"";"";"";"";"29 010"
"IS";"Samfilm";"21/12/2015";"";"217";"330";"";"";"";"";"";"547"
"IT";"Warner Bros. (IT)";"04/12/2014";"546 801";"40 569";"";"";"";"";"";"";"587 370"
"LT";"Acme (LT)";"05/09/2014";"7 690";"139";"";"";"";"";"";"";"7 829"
"LV";"Acme (LV)";"03/10/2014";"10 536";"";"59";"";"";"";"";"";"10 595"
"NL";"Paradiso Entertainment (NL)";"21/08/2014";"94 760";"";"";"";"";"";"";"";"94 760"
"NO";"Scanbox (NO)";"01/08/2014";"19 827";"";"";"";"";"";"";"";"19 827"
"PL";"Kino Swiat";"22/08/2014";"247 890";"";"";"";"";"";"";"";"247 890"
"PT";"Pris Audiovisuais";"04/09/2014";"67 348";"813";"";"37";"";"";"";"";"68 198"
"RO";"Freeman Entertainment (RO)";"14/11/2014";"13 730";"151";"";"";"";"";"";"";"13 881"
"RU";"Central Partnership (RU)";"25/09/2014";"208 728";"8 537";"1 983";"3 150";"1 765";"1 019";"100";"2 884";"225 282"
"SE";"Scanbox Entertainment (SE)";"22/08/2014";"39 447";"978";"";"";"";"";"";"";"40 425"
"SI";"Cinemania Group";"18/09/2014";"4 922";"643";"67";"";"";"";"";"";"5 632"
"SK";"Continental Film (SK)";"14/08/2014";"14 932";"";"";"";"";"";"";"";"14 932"
"TR";"Pinema";"10/10/2014";"25 006";"";"";"";"";"";"";"";"25 006"
"EUR EU";"";"";"3 124 758";"174 904";"511";"101";"";"";"7";"7";"3 300 281"
"EUR OBS";"";"";"3 433 223";"190 844";"2 858";"3 251";"1 765";"1 019";"107";"2 891";"3 633 067"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 47021"
