"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Universal Pictures (AT)";"18/10/2018";"164 845";"2 608";"";"167 453"
"BA";"Una Film";"28/12/2018";"25 414";"";"";"25 414"
"BE";"Sony Pictures Universal (BE)";"10/10/2018";"137 679";"2 956";"";"140 635"
"BG";"Forum Film (BG)";"21/09/2018";"69 430";"624";"";"70 054"
"CH";"Universal Pictures (CH)";"10/10/2018";"203 212";"7 140";"";"210 352"
"CY";"Universal (CY)";"";"34 419";"";"";"34 419"
"CZ";"CinemArt (CZ)";"25/10/2018";"175 236";"2 696";"5";"177 937"
"DE";"UIP (DE)";"18/10/2018";"947 435";"26 017";"";"973 452"
"DK";"UIP (DK)";"11/10/2018";"60 961";"";"";"60 961"
"EE";"VaataFilmi";"19/10/2018";"56 341";"";"";"56 341"
"ES";"Universal Pictures Int'l Spain";"21/09/2018";"701 569";"798";"";"702 367"
"FI";"Finnkino";"28/09/2018";"162 449";"2 056";"";"164 505"
"FR";"Universal Pictures Intl France (FR)";"10/10/2018";"230 576";"";"";"230 576"
"GB";"Universal Pictures (GB)";"05/10/2018";"2 443 993";"4 211";"450";"2 448 654"
"GR";"Tulip (GR)";"20/09/2018";"61 184";"";"";"61 184"
"HR";"Editus (HR)";"12/10/2018";"79 514";"";"14";"79 528"
"HU";"UIP-Dunafilm";"20/09/2018";"180 835";"64";"";"180 899"
"IS";"Myndform";"05/10/2018";"28 611";"";"";"28 611"
"IT";"Universal (IT)";"11/10/2018";"337 455";"116";"";"337 571"
"LT";"NCG Distribution / Universal Pictures";"21/09/2018";"46 679";"";"";"46 679"
"LU";"";"";"14 931";"";"";"14 931"
"LV";"Forum Cinemas (LV)";"21/09/2018";"58 471";"";"";"58 471"
"ME";"";"";"7 059";"";"";"7 059"
"MK";"Premium Film (MK)";"";"18 923";"";"";"18 923"
"NL";"Universal Pictures Int (NL)";"20/09/2018";"508 351";"853";"";"509 204"
"NO";"UIP (NO)";"28/09/2018";"90 201";"4";"";"90 205"
"PL";"UIP (PL)";"21/09/2018";"186 759";"";"";"186 759"
"PT";"NOS Lusomundo Audiovisuais (PT)";"04/10/2018";"323 351";"";"";"323 351"
"RO";"Ro-Image 2000";"05/10/2018";"205 634";"727";"";"206 361"
"RU";"Universal Pictures Int'l - UPI (RU)";"20/09/2018";"679 621";"";"";"679 621"
"SE";"Universal Pictures Nordic";"28/09/2018";"120 431";"";"";"120 431"
"SI";"Karantanija Cinemas";"18/10/2018";"74 286";"971";"";"75 257"
"SK";"CinemaArt (SK)";"25/10/2018";"61 833";"808";"53";"62 694"
"TR";"UIP (TR)";"05/10/2018";"35 455";"";"";"35 455"
"EUR EU";"";"";"7 444 647";"45 505";"522";"7 490 674"
"EUR OBS";"";"";"8 533 143";"52 649";"522";"8 586 314"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 77629"
