"Market";"Distributor";"Release date";"2004";"2005";"2006";"2010";"2016";"Total since 2004"
"AT";"UIP (AT)";"03/12/2004";"269 732";"70 110";"";"";"";"339 842"
"BE";"";"";"257 087";"";"";"";"";"257 087"
"BG";"Sunny";"11/02/2005";"";"26 451";"";"";"";"26 451"
"CH";"Universal Pictures (CH)";"24/11/2004";"236 774";"80 554";"";"";"84";"317 412"
"CZ";"Bontonfilm";"18/11/2004";"218 182";"67 328";"583";"";"";"286 093"
"DE";"UIP (DE)";"02/12/2004";"1 806 491";"456 851";"";"";"";"2 263 342"
"DK";"";"";"220 227";"33 771";"";"";"";"253 998"
"EE";"MPDE";"19/11/2004";"22 678";"";"";"";"";"22 678"
"ES";"UIP - United International Pictures (ES)";"11/11/2004";"1 530 885";"100 849";"";"";"";"1 631 734"
"FI";"Buena Vista (FI)";"03/12/2004";"145 335";"39 269";"";"";"";"184 604"
"FR";"Mars Films (FR)";"08/12/2004";"1 524 867";"301 229";"163";"";"";"1 826 259"
"GB";"UIP (GB)";"12/11/2004";"7 814 961";"128 734";"";"";"";"7 943 695"
"HU";"";"";"294 012";"";"";"";"";"294 012"
"IS";"";"";"27 803";"4 822";"";"";"";"32 625"
"IT";"";"01/01/2005";"";"1 785 127";"";"";"";"1 785 127"
"LT";"";"";"31 110";"";"";"";"";"31 110"
"LV";"Baltic Cinema";"19/11/2004";"25 488";"";"";"";"";"25 488"
"NL";"Universal Pictures Int (NL)";"";"620 688";"98 914";"33";"";"";"719 635"
"NO";"";"";"263 888";"";"";"";"";"263 888"
"PL";"UIP (PL)";"10/11/2004";"831 238";"52 489";"";"";"";"883 727"
"PT";"ZON Lusomundo Audiovisuais";"18/11/2004";"245 478";"";"";"67";"";"245 545"
"RO";"Ro-Image 2000";"07/01/2005";"1 645";"52 585";"338";"";"";"54 568"
"SE";"UIP / Universal";"19/11/2004";"297 063";"62 835";"";"";"";"359 898"
"SI";"";"";"70 334";"";"";"";"";"70 334"
"SK";"Tatra Film";"18/11/2004";"44 582";"10 278";"";"";"";"54 860"
"TR";"UIP (TR)";"03/12/2004";"245 631";"";"";"";"";"245 631"
"EUR EU";"";"";"16 272 083";"3 286 820";"1 117";"67";"";"19 560 087"
"EUR OBS";"";"";"17 046 179";"3 372 196";"1 117";"67";"84";"20 419 643"
"US_CA";"";"";"6 421 578";"";"";"";"";"6 421 578"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2010, 2006, 2005, 2004"
" - film_id : 21918"
