"Market";"Distributor";"Release date";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2014-2018";"Total since 2010"
"BE";"Belga Films (BE)";"20/10/2010";"146 744";"1 282";"";"";"";"";"";"";"";"";"148 026"
"BG";"Aleksandra";"15/10/2010";"18 885";"460";"";"";"";"";"";"";"";"";"19 345"
"CH";"Pathé Films (CH)";"13/10/2010";"18 440";"380";"";"";"";"";"";"";"";"";"18 820"
"CY";"Word of Mouth (CY)";"05/11/2010";"2 231";"425";"";"";"";"";"";"";"";"";"2 656"
"CZ";"Bioscop (AQS)";"10/11/2011";"";"11 695";"3 469";"747";"495";"216";"44";"37";"";"792";"16 703"
"DK";"Scanbox Entertainment (DK)";"14/04/2011";"";"24 031";"";"";"";"";"";"";"";"";"24 031"
"ES";"DeAPlaneta";"13/05/2011";"";"137 214";"96";"856";"";"57";"";"";"";"57";"138 223"
"FI";"Scanbox Finland";"25/03/2011";"";"12 999";"";"";"";"";"";"";"";"";"12 999"
"FR";"EuropaCorp (FR)";"13/10/2010";"3 055 000";"76 880";"";"";"";"";"";"";"";"";"3 131 880"
"GR";"Word of Mouth (GR)";"04/11/2010";"19 975";"17 300";"58";"";"";"";"";"";"";"";"37 333"
"HR";"Blitz Film & Video Distribution (HR)";"04/11/2010";"28 468";"5 699";"";"";"";"";"";"";"";"";"34 167"
"HU";"Forum-Hungary";"23/12/2010";"11 155";"23 980";"";"";"";"";"";"";"";"";"35 135"
"IS";"Myndform";"12/11/2010";"4 637";"";"";"";"";"";"";"";"";"";"4 637"
"IT";"Moviemax";"23/12/2011";"";"38 011";"24 061";"56";"";"";"";"";"";"";"62 128"
"NL";"Entertainment One Benelux";"27/01/2011";"";"20 370";"";"";"";"";"";"";"";"";"20 370"
"NO";"Scanbox Entertainment (NO)";"06/05/2011";"";"16 873";"";"";"";"";"";"";"";"";"16 873"
"PL";"Monolith";"03/12/2010";"58 115";"24 038";"2 872";"";"";"";"";"";"";"";"85 025"
"PT";"ZON Lusomundo Cinemas";"28/04/2011";"";"22 263";"227";"422";"";"";"";"";"";"";"22 912"
"RU";"Central Partnership (RU)";"18/11/2010";"224 792";"";"";"";"";"";"";"";"";"";"224 792"
"SE";"Scanbox Entertainment (SE)";"20/04/2011";"";"22 107";"67";"";"";"";"";"";"";"";"22 174"
"SK";"Magic Box Slovakia";"15/12/2011";"";"1 171";"1 037";"8";"18";"28";"";"30";"19";"95";"2 311"
"EUR EU";"";"";"3 340 573";"439 925";"31 887";"2 089";"513";"301";"44";"67";"19";"944";"3 815 418"
"EUR OBS";"";"";"3 588 442";"457 178";"31 887";"2 089";"513";"301";"44";"67";"19";"944";"4 080 540"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010"
" - film_id : 31607"
