"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Constantin Film (AT)";"23/11/2017";"119 042";"16 525";"";"";"135 567"
"BA";"Blitz Film & Video Distribution (BA)";"07/12/2018";"7 386";"2 234";"";"";"9 620"
"BE";"Belga Films (BE)";"06/12/2017";"261 320";"144 442";"63";"";"405 825"
"BG";"BS Films (BG)";"01/12/2017";"29 194";"9 032";"";"";"38 226"
"CH";"Frenetic Films (CH)";"09/11/2017";"81 412";"21 845";"";"38";"103 295"
"CY";"Odeon (CY)";"30/11/2017";"6 932";"1 894";"";"";"8 826"
"CZ";"Vertical Entertainment (CZ)";"30/11/2017";"104 339";"45 726";"";"";"150 065"
"DE";"StudioCanal (DE)";"23/11/2017";"948 015";"1 021 761";"16 187";"2 387";"1 988 350"
"DK";"SF Studios (DK)";"30/11/2017";"63 953";"19 106";"22";"";"83 081"
"EE";"Acme Film";"01/12/2017";"39 728";"4 046";"";"";"43 774"
"ES";"Warner Bros. Entertainment Espana";"24/11/2017";"255 226";"15 352";"426";"";"271 004"
"FI";"SF Film Finland [FS Film]";"10/11/2017";"63 671";"3 704";"";"";"67 375"
"FR";"StudioCanal (FR)";"06/12/2017";"1 309 287";"";"";"221";"1 309 508"
"GB";"StudioCanal (GB)";"10/11/2017";"5 025 362";"449 544";"";"54";"5 474 960"
"GR";"Odeon (GR)";"30/11/2017";"67 040";"28 498";"";"";"95 538"
"HR";"Blitz Film & Video Distribution (HR)";"07/12/2017";"39 711";"9 425";"";"";"49 136"
"HU";"Vertical Entertainment (HU)";"30/11/2017";"38 073";"11 417";"";"";"49 490"
"IS";"Myndform";"12/01/2018";"1 358";"21 045";"";"";"22 403"
"IT";"Eagle Pictures";"09/11/2017";"461 204";"5 135";"";"";"466 339"
"LT";"Acme (LT)";"01/12/2017";"37 507";"4 781";"";"";"42 288"
"LU";"Belga Film (LU)";"06/12/2017";"14 117";"4 198";"";"";"18 315"
"LV";"Acme (LV)";"01/12/2017";"21 979";"2 814";"";"";"24 793"
"ME";"";"";"";"79";"";"";"79"
"MK";"Blitz Film (MK)";"";"1 255";"273";"";"";"1 528"
"NL";"Independent Films (NL)";"06/12/2017";"166 542";"146 211";"8";"";"312 761"
"NO";"SF Norway";"08/12/2017";"98 983";"31 758";"";"6";"130 747"
"PL";"Monolith";"29/12/2017";"294 899";"436 724";"3 276";"";"734 899"
"PT";"NOS Lusomundo Audiovisuais (PT)";"07/12/2017";"106 439";"13 635";"";"";"120 074"
"RO";"Vertical Ent. (RO)";"01/12/2017";"65 257";"20 354";"";"";"85 611"
"RU";"Volga (RU)";"20/01/2018";"";"1 522 352";"";"";"1 522 352"
"SE";"Svensk Filmindustri";"10/11/2017";"229 591";"55 140";"";"";"284 731"
"SI";"Blitz Film & Video Distribution (SI)";"07/12/2017";"15 951";"3 831";"";"";"19 782"
"SK";"Forum Film Slovakia";"30/11/2017";"32 851";"8 429";"";"";"41 280"
"TR";"CGV Mars Dagitim (TR)";"24/11/2017";"93 058";"2 894";"";"";"95 952"
"EUR EU";"";"";"9 817 230";"2 481 724";"19 982";"2 662";"12 321 598"
"EUR OBS";"";"";"10 100 682";"4 084 204";"19 982";"2 706";"14 207 574"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 72552"
