"Market";"Distributor";"Release date";"2014";"2015";"2016";"2020";"Total since 2014"
"AT";"Fox Int'l (AT)";"22/08/2014";"107 678";"";"";"";"107 678"
"BG";"bTV";"15/08/2014";"20 518";"";"";"";"20 518"
"CH";"Elite Film";"20/08/2014";"77 488";"";"";"";"77 488"
"CY";"Odeon (CY)";"";"6 470";"";"";"";"6 470"
"CZ";"Bontonfilm";"14/08/2014";"80 931";"752";"6";"";"81 689"
"DE";"Splendid Film (DE)";"21/08/2014";"694 254";"2 233";"";"36";"696 523"
"DK";"UIP (DK)";"14/07/2014";"61 150";"";"";"";"61 150"
"EE";"GPI / Bassano";"15/08/2014";"17 170";"";"";"";"17 170"
"ES";"Universal Pictures Int'l Spain";"14/08/2014";"507 443";"188";"";"";"507 631"
"FI";"Future Film (FI)";"15/08/2014";"72 414";"";"";"";"72 414"
"FR";"Metropolitan Filmexport";"20/08/2014";"1 064 980";"";"";"";"1 064 980"
"GB";"Lionsgate (GB)";"15/08/2014";"574 507";"";"";"";"574 507"
"GR";"Odeon (GR)";"";"68 853";"";"";"";"68 853"
"HR";"Duplicato";"14/08/2014";"35 086";"";"";"";"35 086"
"HU";"ProVideo";"28/08/2014";"118 429";"";"";"";"118 429"
"IS";"Myndform";"";"10 109";"";"";"";"10 109"
"IT";"Universal (IT)";"04/09/2014";"489 184";"16";"";"";"489 200"
"LT";"Garsų pasaulio įrašai (LT)";"22/08/2014";"9 909";"";"";"";"9 909"
"LV";"Garsu Pasaulio irasai (LV)";"22/08/2014";"10 567";"";"";"";"10 567"
"ME";"";"";"1 378";"";"";"";"1 378"
"MK";"Blitz Film (MK)";"";"2 545";"";"";"";"2 545"
"NL";"Entertainment One Benelux";"14/08/2014";"184 583";"";"";"";"184 583"
"NO";"SF Norway";"22/08/2014";"57 601";"";"";"";"57 601"
"PL";"Monolith";"14/08/2014";"137 789";"";"";"";"137 789"
"PT";"NOS Lusomundo Audiovisuais (PT)";"14/08/2014";"121 341";"371";"";"";"121 712"
"RO";"Media Pro Distributions";"29/08/2014";"52 184";"";"";"";"52 184"
"RU";"Universal Pictures Russia";"14/08/2014";"1 175 227";"";"";"";"1 175 227"
"SE";"Noble Entertainment";"13/08/2014";"42 077";"";"";"";"42 077"
"SI";"Blitz Film & Video Distribution (SI)";"28/08/2014";"6 001";"";"";"";"6 001"
"SK";"TatraFilm/Bontonfilm";"14/08/2014";"31 889";"";"";"";"31 889"
"TR";"Medyavizyon";"15/08/2014";"694 845";"";"";"";"694 845"
"EUR EU";"";"";"4 515 407";"3 560";"6";"36";"4 519 009"
"EUR OBS";"";"";"6 534 600";"3 560";"6";"36";"6 538 202"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2016, 2015, 2014"
" - film_id : 46846"
