"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"2020";"2019-2020";"Total since 2015"
"AT";"Filmladen";"27/11/2015";"20 582";"4 547";"";"";"";"";"";"25 129"
"BA";"MCF (BA)";"07/04/2016";"";"502";"";"";"";"";"";"502"
"BE";"Santa Fe Productions (BE)";"07/10/2015";"62 544";"8 107";"567";"";"";"";"";"71 218"
"BG";"Bulgaria Film Vision (BG)";"01/01/2015";"4 837";"2 279";"";"";"";"";"";"7 116"
"CH";"Praesens Film";"28/05/2015";"59 753";"658";"94";"";"34";"";"34";"60 539"
"CZ";"Aerofilms";"08/10/2015";"53 487";"10 035";"732";"55";"412";"125";"537";"64 846"
"DE";"Wild Bunch (DE)";"26/11/2015";"124 618";"136 805";"879";"141";"474";"";"474";"262 917"
"DK";"Scanbox Entertainment (DK)";"14/01/2016";"";"36 436";"";"";"";"";"";"36 436"
"EE";"A-One Films Estonia (EE)";"25/09/2015";"13 191";"406";"";"";"";"19";"19";"13 616"
"ES";"Vertigo Films (ES)";"22/01/2016";"";"191 714";"351";"112";"233";"";"233";"192 410"
"FI";"Finnkino";"08/01/2016";"";"10 381";"";"";"";"";"";"10 381"
"FR";"Pathé Distribution (FR)";"09/09/2015";"373 748";"";"";"";"";"";"";"373 748"
"GB";"StudioCanal (GB)";"29/01/2016";"";"138 491";"92";"";"";"";"";"138 583"
"GR";"Odeon (GR)";"15/10/2015";"49 078";"2 423";"343";"264";"";"";"";"52 108"
"HR";"Pa-Dora";"26/12/2015";"546";"5 120";"";"";"";"";"";"5 666"
"HU";"Mozinet";"24/12/2015";"12 494";"32 249";"230";"185";"71";"";"71";"45 229"
"IS";"Myndform";"26/12/2015";"267";"1 436";"";"";"";"";"";"1 703"
"IT";"Medusa Film";"20/05/2015";"971 493";"2 135";"";"";"";"";"";"973 628"
"LT";"A-One Films (LT)";"18/09/2015";"31 839";"751";"";"";"";"";"";"32 590"
"LU";"Santa Fe Productions (LU)";"23/09/2015";"3 933";"225";"";"";"";"";"";"4 158"
"LV";"A-One Film (LV)";"13/11/2015";"9 062";"3 319";"";"";"";"18";"18";"12 399"
"ME";"MCF MNE";"07/04/2016";"";"220";"";"";"";"";"";"220"
"NL";"Paradiso Entertainment (NL)";"29/10/2015";"144 993";"47 662";"987";"78";"58";"6";"64";"193 784"
"NO";"Norsk Filminstitutt";"29/01/2016";"";"8 918";"";"";"";"";"";"8 918"
"PL";"Gutek Film";"18/09/2015";"143 334";"12 563";"2 845";"1 481";"";"";"";"160 223"
"PT";"NOS Lusomundo Audiovisuais (PT)";"10/12/2015";"11 555";"6 223";"46";"";"";"";"";"17 824"
"RO";"IF-Independenta Film";"22/01/2016";"";"8 480";"";"43";"89";"";"89";"8 612"
"RU";"A-One Films (RU)";"22/10/2015";"110 299";"15 349";"3 990";"4 786";"4 800";"";"4 800";"139 224"
"SE";"Scanbox Entertainment (SE)";"22/01/2016";"";"8 955";"";"";"";"";"";"8 955"
"SI";"Fivia";"17/12/2015";"9 273";"5 309";"215";"180";"280";"";"280";"15 257"
"SK";"ASFK";"15/10/2015";"9 504";"4 969";"421";"392";"246";"56";"302";"15 588"
"TR";"M3 Film";"15/01/2016";"";"13 302";"285";"24";"";"";"";"13 611"
"EUR EU";"";"";"2 050 111";"679 584";"7 708";"2 931";"1 863";"224";"2 087";"2 742 421"
"EUR OBS";"";"";"2 220 430";"719 969";"12 077";"7 741";"6 697";"224";"6 921";"2 967 138"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015"
" - film_id : 63978"
