"Market";"Distributor";"Release date";"2007";"2008";"2010";"2011";"Total since 2007"
"AT";"Constantin/Tobis (AT)";"16/02/2007";"104 627";"";"";"";"104 627"
"CH";"Elite Film";"07/02/2007";"51 963";"";"";"";"51 963"
"CZ";"SPI";"22/02/2007";"57 480";"";"";"";"57 480"
"DE";"Tobis Film (DE)";"15/02/2007";"502 988";"";"";"";"502 988"
"DK";"Nordisk Film Biografer";"09/02/2007";"33 405";"4";"";"";"33 409"
"EE";"";"24/02/2007";"5 470";"";"";"";"5 470"
"ES";"Aurum Producciones";"16/03/2007";"593 118";"";"314";"1 166";"594 598"
"FI";"Nordisk Film Theatrical Dist.";"16/02/2007";"18 815";"";"";"";"18 815"
"FR";"Quinta Communications";"07/02/2007";"691 146";"";"";"";"691 146"
"GB";"Momentum Pictures (GB)";"09/02/2007";"531 564";"2 624";"";"";"534 188"
"HU";"SPI Hungary";"07/03/2007";"67 714";"";"";"";"67 714"
"IS";"";"";"3 661";"";"";"";"3 661"
"IT";"Filmauro";"09/02/2007";"955 409";"";"";"";"955 409"
"LT";"Acme (LT)";"";"18 845";"";"";"";"18 845"
"LV";"";"";"14 179";"";"";"";"14 179"
"NL";"Benelux Film Distribution";"08/03/2007";"78 172";"";"";"";"78 172"
"NO";"Nordisk Filmdistribusjon";"16/02/2007";"16 971";"";"";"";"16 971"
"PL";"SPI Poland";"23/02/2007";"127 949";"";"";"";"127 949"
"PT";"LNK Audiovisuais";"15/02/2007";"89 378";"";"";"";"89 378"
"RO";"Ro-Image 2000";"23/11/2007";"9 305";"198";"";"";"9 503"
"SE";"Nordisk Film";"16/02/2007";"56 975";"";"";"";"56 975"
"SI";"Fivia";"14/06/2007";"6 839";"";"";"";"6 839"
"SK";"SPI SK";"05/04/2007";"16 311";"";"";"";"16 311"
"TR";"Warner Bros. (TR)";"09/02/2007";"149 399";"";"";"";"149 399"
"EUR EU";"";"";"3 979 689";"2 826";"314";"1 166";"3 983 995"
"EUR OBS";"";"";"4 201 683";"2 826";"314";"1 166";"4 205 989"
"US_CA";"MGM-Weinstein";"09/02/2007";"4 021 762";"";"";"";"4 021 762"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2011, 2010, 2008, 2007"
" - film_id : 26134"
