"Market";"Distributor";"Release date";"2013";"2014";"2016";"2018";"2019";"Total since 2013"
"BE";"Victory Productions (BE)";"17/04/2013";"168 106";"";"157";"130";"162";"168 555"
"CH";"Frenetic Films (CH)";"17/04/2013";"53 577";"";"";"";"";"53 577"
"FR";"UGC Distribution";"17/04/2013";"3 955 113";"";"";"";"";"3 955 113"
"HU";"Cinetel";"03/04/2014";"";"16 499";"";"";"";"16 499"
"LU";"Victory Productions (LU)";"17/04/2013";"4 421";"";"";"";"";"4 421"
"RU";"Caravella-DCC";"22/08/2013";"47 523";"";"";"";"";"47 523"
"TR";"Ozen Film";"08/01/2016";"";"";"6 029";"";"";"6 029"
"EUR EU";"";"";"4 127 640";"16 499";"157";"130";"162";"4 144 588"
"EUR OBS";"";"";"4 228 740";"16 499";"6 186";"130";"162";"4 251 717"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2016, 2014, 2013"
" - film_id : 43244"
