"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2011";"2014";"2015";"2011-2015";"Total since 2007"
"AT";"Universal Pictures (AT)";"21/12/2007";"30 710";"38 965";"";"";"";"";"";"";"69 675"
"CH";"Universal Pictures (CH)";"26/10/2007";"51 152";"46 199";"";"26";"";"102";"";"102";"97 479"
"CZ";"Bontonfilm";"22/11/2007";"79 555";"38 778";"1 149";"322";"90";"";"";"90";"119 894"
"DE";"Universal Pictures (DE)";"20/12/2007";"260 415";"268 277";"";"";"";"";"62";"62";"528 754"
"DK";"UIP (DK)";"16/11/2007";"118 114";"19 141";"";"";"";"";"";"";"137 255"
"EE";"";"24/11/2007";"6 949";"";"";"";"";"";"";"";"6 949"
"ES";"Universal Pictures Int'l Spain";"06/11/2007";"290 122";"6 086";"137";"";"";"";"";"";"296 345"
"FI";"Finnkino";"09/11/2007";"16 026";"932";"";"";"";"";"";"";"16 958"
"FR";"StudioCanal (FR)";"12/12/2007";"97 196";"8 612";"";"";"";"";"";"";"105 808"
"GB";"Universal Pictures (GB)";"02/11/2007";"989 494";"12 166";"";"";"";"";"";"";"1 001 660"
"HR";"Blitz Film & Video Distribution (HR)";"";"12 122";"22 789";"";"";"";"";"";"";"34 911"
"HU";"UIP-Dunafilm";"22/11/2007";"50 969";"";"";"";"";"";"";"";"50 969"
"IS";"";"";"1 422";"";"";"";"";"";"";"";"1 422"
"IT";"Universal (IT)";"26/10/2007";"746 937";"13 822";"108";"";"";"";"";"";"760 867"
"LV";"";"";"23 173";"";"";"";"";"";"";"";"23 173"
"NL";"Universal Pictures Int (NL)";"20/12/2007";"55 538";"54 426";"799";"36";"328";"";"";"328";"111 127"
"NO";"UIP (NO)";"02/11/2007";"32 570";"392";"";"";"";"";"";"";"32 962"
"PL";"UIP (PL)";"11/01/2008";"";"107 456";"";"";"";"";"";"";"107 456"
"PT";"ZON Lusomundo Audiovisuais";"01/11/2007";"134 683";"1 376";"";"";"";"";"";"";"136 059"
"RO";"Ro-Image 2000";"04/01/2008";"1 348";"23 887";"";"";"";"";"";"";"25 235"
"SE";"UIP / Universal";"02/11/2007";"50 379";"1 786";"";"";"";"";"";"";"52 165"
"SI";"Karantanija Cinemas";"22/11/2007";"11 582";"4 760";"377";"50";"56";"";"";"56";"16 825"
"SK";"Tatra Film";"22/11/2007";"13 423";"1 649";"";"";"";"";"";"";"15 072"
"TR";"UIP (TR)";"23/11/2007";"112 558";"1 940";"";"";"";"";"";"";"114 498"
"EUR EU";"";"";"2 988 735";"624 908";"2 570";"408";"474";"";"62";"536";"3 617 157"
"EUR OBS";"";"";"3 186 437";"673 439";"2 570";"434";"474";"102";"62";"638";"3 863 518"
"US_CA";"Universal Pictures (US)";"12/10/2007";"2 367 040";"";"";"";"";"";"";"";"2 367 040"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2014, 2011, 2010, 2009, 2008, 2007"
" - film_id : 28008"
