"Market";"Distributor";"Release date";"2016";"2017";"2018";"Total since 2016"
"AT";"Universal Pictures (AT)";"15/09/2016";"28 436";"";"";"28 436"
"BE";"Sony Pictures Releasing (BE)";"27/07/2016";"49 735";"";"";"49 735"
"CH";"Universal Pictures (CH)";"20/07/2016";"42 145";"";"";"42 145"
"CZ";"CinemArt (CZ)";"07/07/2016";"23 441";"";"48";"23 489"
"DE";"UIP (DE)";"15/09/2016";"601 203";"2 908";"";"604 111"
"EE";"VaataFilmi/Forum Distribution (EE)";"";"6 508";"";"";"6 508"
"ES";"Universal Pictures Int'l Spain";"15/07/2016";"486 098";"";"235";"486 333"
"FR";"Universal Pictures Intl France (FR)";"";"702 611";"";"";"702 611"
"GB";"Universal Pictures (GB)";"26/08/2016";"319 823";"";"";"319 823"
"GE";"Interfilm International (GE)";"";"1 451";"";"";"1 451"
"GR";"UIP (GR)";"";"16 873";"";"";"16 873"
"HR";"Blitz Film & Video Distribution (HR)";"14/07/2016";"8 383";"";"";"8 383"
"IT";"Universal (IT)";"28/07/2016";"236 591";"8";"390";"236 989"
"LT";"NCG Distribution / Universal Pictures";"08/07/2016";"8 844";"";"";"8 844"
"LV";"Forum Cinemas (LV)";"22/07/2016";"5 280";"";"";"5 280"
"NL";"Universal Pictures Int (NL)";"07/07/2016";"100 658";"";"";"100 658"
"PL";"UIP (PL)";"08/07/2016";"60 607";"";"";"60 607"
"RO";"Ro-Image 2000";"08/07/2016";"24 797";"357";"30";"25 184"
"RU";"Universal Pictures Int'l - UPI (RU)";"28/07/2016";"235 083";"";"";"235 083"
"SE";"Universal/UIP (SE)";"06/07/2016";"20 823";"";"";"20 823"
"SI";"Karantanija Cinemas";"30/06/2016";"3 919";"";"";"3 919"
"SK";"CinemaArt (SK)";"07/07/2016";"14 898";"";"";"14 898"
"TR";"UIP (TR)";"01/07/2016";"116 865";"";"";"116 865"
"EUR EU";"";"";"2 719 528";"3 273";"703";"2 723 504"
"EUR OBS";"";"";"3 115 072";"3 273";"703";"3 119 048"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016"
" - film_id : 67865"
