"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2009";"Total since 2003"
"BE";"";"";"115 655";"";"";"";"";"115 655"
"CH";"";"";"47 042";"";"";"";"";"47 042"
"CZ";"SPI";"27/11/2003";"1 115";"858";"3";"";"";"1 976"
"FR";"Warner Bros. (FR)";"19/03/2003";"3 823 764";"582";"";"30";"";"3 824 376"
"GR";"Art Free";"23/01/2004";"";"2 024";"";"";"";"2 024"
"HU";"SPI Hungary";"15/07/2004";"";"4 128";"13";"";"";"4 141"
"LU";"";"";"4 187";"";"";"";"";"4 187"
"PL";"";"";"";"6 081";"";"";"";"6 081"
"SK";"SPI SK";"08/04/2004";"";"3 239";"";"";"6";"3 245"
"TR";"Ozen Film";"13/08/2004";"";"1 067";"";"";"";"1 067"
"EUR EU";"";"";"3 944 721";"16 912";"16";"30";"6";"3 961 685"
"EUR OBS";"";"";"3 991 763";"17 979";"16";"30";"6";"4 009 794"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2009, 2006, 2005, 2004, 2003"
" - film_id : 20735"
