"Market";"Distributor";"Release date";"2001";"2002";"2003";"2009";"Total since 2001"
"AT";"";"";"33 109";"";"";"";"33 109"
"BE";"";"";"125 479";"";"";"";"125 479"
"BG";"";"";"";"6 195";"";"";"6 195"
"CH";"";"";"40 383";"";"";"";"40 383"
"CY";"";"";"23 702";"";"629";"";"24 331"
"CZ";"Bontonfilm";"08/11/2001";"21 789";"14 207";"952";"";"36 948"
"DE";"UIP (DE)";"01/11/2001";"188 822";"8 062";"";"";"196 884"
"DK";"UIP (DK)";"09/11/2001";"9 288";"584";"";"17";"9 889"
"ES";"";"";"314 322";"7 903";"";"";"322 225"
"FI";"";"";"";"7 374";"";"";"7 374"
"FR";"";"";"152 623";"35";"";"";"152 658"
"GB";"";"";"2 186 714";"";"";"";"2 186 714"
"GR";"Odeon (GR)";"28/09/2001";"339 184";"";"583";"";"339 767"
"HU";"";"";"53 155";"";"";"";"53 155"
"IS";"";"";"1 241";"";"";"";"1 241"
"IT";"";"";"324 488";"8 465";"";"";"332 953"
"NL";"";"";"54 289";"";"";"";"54 289"
"NO";"";"";"23 529";"";"";"";"23 529"
"PL";"";"";"24 805";"";"";"";"24 805"
"PT";"";"";"169 326";"139";"";"";"169 465"
"RO";"";"";"";"4 347";"244";"";"4 591"
"SE";"";"";"43 135";"";"";"";"43 135"
"SI";"";"";"10 730";"";"";"";"10 730"
"TR";"";"";"";"195 177";"";"";"195 177"
"EUR EU";"";"";"4 074 960";"57 311";"2 408";"17";"4 134 696"
"EUR OBS";"";"";"4 140 113";"252 488";"2 408";"17";"4 395 026"
"US_CA";"";"";"4 739 127";"";"";"";"4 739 127"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2009, 2003, 2002, 2001"
" - film_id : 17130"
