"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2016-2018";"Total since 2012"
"AT";"Constantin Film (AT)";"20/12/2012";"42 575";"35 678";"97";"";"";"";"";"";"78 350"
"BE";"Belga Films (BE)";"15/08/2012";"121 459";"717";"";"";"";"";"";"";"122 176"
"BG";"A Plus Cinema";"25/01/2013";"";"21 356";"";"244";"68";"31";"";"99";"21 699"
"CH";"Frenetic Films (CH)";"15/08/2012";"28 321";"21 615";"525";"";"";"";"";"";"50 461"
"CZ";"35 mm";"27/12/2012";"21 890";"59 774";"531";"";"";"";"";"";"82 195"
"DE";"StudioCanal (DE)";"20/12/2012";"330 192";"371 928";"314";"101";"114";"";"231";"345";"702 880"
"DK";"SF Film (DK)";"21/03/2013";"";"22 666";"";"";"";"";"";"";"22 666"
"EE";"Acme (EE)";"19/04/2013";"201";"5 349";"";"";"";"";"";"";"5 550"
"ES";"Ciudad de las Artes y de las Ciencias";"01/11/2015";"";"";"";"";"";"6 984";"";"6 984";"6 984"
"FI";"SF Film Finland [FS Film]";"08/03/2013";"";"14 389";"";"";"";"";"";"";"14 389"
"FR";"StudioCanal (FR)";"15/08/2012";"693 905";"1 573";"";"113";"";"";"";"";"695 591"
"GB";"Warner Bros. (GB)";"15/02/2013";"";"270 833";"252";"";"";"";"";"";"271 085"
"GR";"Village";"20/12/2012";"13 410";"32 052";"";"";"";"";"";"";"45 462"
"HR";"Blitz Film & Video Distribution (HR)";"04/10/2012";"44 266";"1 772";"";"";"";"";"";"";"46 038"
"HU";"Big Bang Media";"27/09/2012";"40 070";"";"382";"";"";"";"";"";"40 452"
"IT";"Eagle Pictures";"13/12/2012";"162 121";"77 026";"176";"5";"";"";"";"";"239 328"
"LT";"Acme (LT)";"09/11/2012";"27 980";"79";"124";"";"";"";"";"";"28 183"
"ME";"";"";"";"1 388";"";"";"";"";"";"";"1 388"
"MK";"";"";"";"";"137";"";"";"";"";"";"137"
"NL";"Entertainment One Benelux";"15/08/2012";"68 794";"354";"";"";"";"";"";"";"69 148"
"NO";"SF Norway";"02/11/2012";"24 819";"1 048";"";"";"";"";"";"";"25 867"
"PL";"Kino Swiat/SPI";"05/10/2012";"224 851";"3 709";"";"";"";"";"";"";"228 560"
"PT";"NOS Lusomundo Audiovisuais (PT)";"13/12/2012";"61 133";"12 484";"753";"2 142";"452";"";"";"452";"76 964"
"RO";"Media Pro Distributions";"04/10/2012";"33 565";"1 398";"44";"";"";"";"";"";"35 007"
"RU";"West Video";"16/08/2012";"444 264";"";"";"";"";"";"";"";"444 264"
"SE";"SF Film (SE)";"28/09/2012";"62 402";"2 563";"";"";"";"";"";"";"64 965"
"SI";"Blitz Film & Video Distribution (SI)";"03/01/2013";"";"20 860";"";"";"";"";"";"";"20 860"
"SK";"Forum Film Slovakia";"27/12/2012";"7 853";"34 460";"";"";"";"";"";"";"42 313"
"TR";"UIP (TR)";"05/10/2012";"188 465";"14 344";"";"";"";"";"";"";"202 809"
"EUR EU";"";"";"1 956 667";"991 020";"2 673";"2 605";"634";"7 015";"231";"7 880";"2 960 845"
"EUR OBS";"";"";"2 642 536";"1 029 415";"3 335";"2 605";"634";"7 015";"231";"7 880";"3 685 771"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014, 2013, 2012"
" - film_id : 40178"
