"Market";"Distributor";"Release date";"2012";"2013";"2015";"Total since 2012"
"BE";"Les Films de l'Élysée (BE)";"26/09/2012";"102 602";"";"";"102 602"
"CH";"Praesens Film";"26/09/2012";"45 487";"30";"";"45 517"
"ES";"Alimpro Films";"26/04/2013";"";"27 356";"";"27 356"
"FR";"Warner Bros. (FR)";"26/09/2012";"2 721 604";"";"";"2 721 604"
"GR";"Village";"31/10/2013";"";"95";"";"95"
"HU";"MTVA";"28/03/2013";"";"15 478";"";"15 478"
"IT";"Medusa Film";"20/06/2013";"";"61 103";"";"61 103"
"LU";"Les Films de l'Élysée (LU)";"26/09/2012";"4 366";"";"";"4 366"
"PT";"Lanterna de Pedra Filmes";"10/06/2015";"";"";"2 601";"2 601"
"RU";"Raketa Releasing/Kinoprom";"21/11/2013";"";"1 890";"";"1 890"
"EUR EU";"";"";"2 828 572";"104 032";"2 601";"2 935 205"
"EUR OBS";"";"";"2 874 059";"105 952";"2 601";"2 982 612"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2013, 2012"
" - film_id : 39226"
