"Market";"Distributor";"Release date";"2005";"2006";"2016";"Total since 2005"
"BE";"Vertigo Films (BE)";"06/07/2016";"140 459";"";"35 130";"175 589"
"CH";"Monopole Pathé Films";"06/04/2005";"98 618";"";"";"98 618"
"FR";"TFM Distribution";"06/04/2005";"4 400 000";"329";"";"4 400 329"
"SI";"Fivia";"08/09/2005";"2 341";"";"";"2 341"
"EUR EU";"";"";"4 542 800";"329";"35 130";"4 578 259"
"EUR OBS";"";"";"4 641 418";"329";"35 130";"4 676 877"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2006, 2005"
" - film_id : 23719"
