"Market";"Distributor";"Release date";"2016";"Total since 2016"
"BE";"Alternative Films (BE)";"29/06/2016";"81 959";"81 959"
"CH";"Pathé Films (CH)";"29/06/2016";"18 163";"18 163"
"FR";"Pathé Distribution (FR)";"";"3 229 538";"3 229 538"
"LU";"Alternative Film (LU)";"29/06/2014";"2 086";"2 086"
"EUR EU";"";"";"3 313 583";"3 313 583"
"EUR OBS";"";"";"3 331 746";"3 331 746"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016"
" - film_id : 69534"
