"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Filmladen";"03/10/2014";"13 236";"17 357";"2 042";"797";"";"";"";"";"33 432"
"BA";"Blitz Film & Video Distribution (BA)";"28/08/2014";"640";"";"";"";"";"";"";"";"640"
"BE";"Cineart (BE)";"09/07/2014";"140 290";"4 428";"827";"461";"299";"69";"72";"440";"146 446"
"CH";"Pathé Films (CH)";"09/07/2014";"88 366";"1 127";"44";"";"";"72";"";"72";"89 609"
"CY";"Indipentant - Feelgood (CY)";"";"2 564";"";"";"";"";"";"";"";"2 564"
"CZ";"35 mm";"10/07/2014";"19 733";"3 883";"643";"339";"25";"102";"";"127";"24 725"
"DE";"Wild Bunch (DE)";"02/10/2014";"195 419";"21 851";"2 245";"695";"1 105";"454";"287";"1 846";"222 056"
"EE";"A-One Films Estonia (EE)";"24/10/2014";"1 704";"675";"58";"";"";"";"";"";"2 437"
"FR";"Wild Bunch Distribution";"09/07/2014";"2 454 906";"";"";"";"";"";"";"";"2 454 906"
"GR";"Feelgood";"02/10/2014";"107 156";"4 284";"273";"765";"";"264";"";"264";"112 742"
"HR";"Blitz Film & Video Distribution (HR)";"28/08/2014";"5 879";"102";"";"";"";"";"";"";"5 981"
"HU";"ADS";"23/10/2014";"19 750";"1 683";"175";"370";"47";"";"";"47";"22 025"
"IS";"Sena";"";"1 662";"";"";"";"";"";"";"";"1 662"
"IT";"Bim Distribuzione";"16/04/2015";"";"75 708";"1 004";"83";"";"191";"";"191";"76 986"
"LT";"A-One Films (LT)";"24/10/2014";"3 528";"1 966";"1 278";"";"";"";"126";"126";"6 898"
"LU";"Cineart (LU)";"09/07/2014";"6 906";"";"";"";"";"";"";"";"6 906"
"LV";"A-One Films Baltic (LV)";"06/05/2015";"";"3 293";"";"";"";"";"";"";"3 293"
"NL";"Cinéart Nederland";"31/07/2014";"5 860";"152";"1 009";"";"";"345";"";"345";"7 366"
"PL";"Kino Swiat/SPI";"14/08/2014";"622 048";"4 371";"";"";"";"";"";"";"626 419"
"RO";"Cine Europa (RO)";"28/08/2015";"";"2 072";"40";"272";"174";"";"";"174";"2 558"
"RU";"Nashe Kino";"20/11/2014";"19 602";"143";"";"";"";"";"";"";"19 745"
"SI";"Blitz Film & Video Distribution (SI)";"28/08/2014";"1 918";"47";"50";"";"";"";"";"";"2 015"
"SK";"Continental Film (SK)";"28/08/2014";"4 249";"378";"";"";"";"";"";"";"4 627"
"TR";"Bir Film";"11/07/2014";"45 954";"2 404";"714";"1 069";"475";"238";"";"713";"50 854"
"EUR EU";"";"";"3 605 146";"142 250";"9 644";"3 782";"1 650";"1 425";"485";"3 560";"3 764 382"
"EUR OBS";"";"";"3 761 370";"145 924";"10 402";"4 851";"2 125";"1 735";"485";"4 345";"3 926 892"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 45490"
