"Market";"Distributor";"Release date";"2019";"2020";"Total since 2019"
"AT";"Panda Lichtspiele Filmverleih";"25/12/2019";"5 519";"7 072";"12 591"
"BA";"MCF (BA)";"19/12/2019";"51";"75";"126"
"BE";"Cineart (BE)";"18/09/2019";"103 302";"8 590";"111 892"
"CH";"Elite Film";"23/10/2019";"59 508";"10 101";"69 609"
"CZ";"Bioscop (AQS)";"28/11/2019";"11 238";"5 388";"16 626"
"DE";"Prokino Filmverleih";"05/12/2019";"64 548";"23 152";"87 700"
"DK";"Scanbox Entertainment (DK)";"23/01/2020";"";"39 099";"39 099"
"EE";"ETD";"31/01/2020";"";"1 961";"1 961"
"ES";"A Contracorriente Films";"03/12/2019";"5";"";"5"
"FI";"Finnkino";"28/02/2020";"";"3 547";"3 547"
"FR";"Gaumont Distribution";"23/10/2019";"2 072 314";"39 411";"2 111 725"
"HR";"Discovery (HR)";"10/12/2020";"";"359";"359"
"HU";"ADS";"26/12/2019";"3 715";"10 750";"14 465"
"IS";"Bíó Paradís (IS)";"18/09/2020";"";"611";"611"
"LT";"Theatrical Film Distribution (LT)";"07/02/2020";"";"22 271";"22 271"
"LU";"Cineart (LU)";"23/10/2019";"2 349";"";"2 349"
"LV";"LTD Latvian Theatrical Distribution";"17/01/2020";"";"242";"242"
"ME";"MCF (ME)";"";"35";"34";"69"
"MK";"MCF MKD (MK)";"";"37";"";"37"
"NL";"Cinéart Nederland";"12/12/2019";"66 979";"112 353";"179 332"
"NO";"Norsk Filmdistribusjon";"21/02/2020";"";"8 694";"8 694"
"PL";"Kino Swiat";"06/12/2019";"33 346";"";"33 346"
"PT";"NOS Lusomundo Audiovisuais (PT)";"27/02/2020";"";"4 735";"4 735"
"RU";"Capella Film / Mauris Film (RU)";"16/01/2020";"706";"91 287";"91 993"
"SI";"Fivia";"29/05/2020";"";"2 266";"2 266"
"SK";"Magic Box Slovakia";"28/11/2019";"4 922";"3 626";"8 548"
"EUR EU";"";"";"2 368 237";"284 822";"2 653 059"
"EUR OBS";"";"";"2 428 574";"395 624";"2 824 198"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019"
" - film_id : 84866"
