"Market";"Distributor";"Release date";"2019";"2020";"Total since 2019"
"AT";"Constantin/Studiocanal";"26/09/2019";"61 490";"";"61 490"
"BA";"Blitz Film & Video Distribution (BA)";"26/09/2019";"3 567";"";"3 567"
"BE";"WW Entertainment (BE)";"25/09/2019";"41 974";"105";"42 079"
"CH";"Impuls Pictures";"26/09/2019";"94 678";"3 400";"98 078"
"CY";"Odeon-Spentzos (CY)";"10/10/2019";"356";"";"356"
"CZ";"Bohemia Motion Pictures (CZ)";"03/10/2019";"92 598";"10 253";"102 851"
"DE";"StudioCanal (DE)";"26/09/2019";"831 594";"86 407";"918 001"
"DK";"SF Studios (DK)";"28/11/2019";"26 796";"9 820";"36 616"
"EE";"Acme Film";"27/09/2019";"26 350";"23";"26 373"
"ES";"Vértice Cine";"31/10/2019";"114 849";"";"114 849"
"FI";"SF Film Finland [FS Film]";"11/10/2019";"88 365";"785";"89 150"
"FR";"StudioCanal (FR)";"16/10/2019";"731 734";"13 775";"745 509"
"GB";"StudioCanal (GB)";"18/10/2019";"960 052";"29 164";"989 216"
"GR";"Spentzos Film";"10/10/2019";"14 239";"";"14 239"
"HR";"Blitz Film & Video Distribution (HR)";"26/09/2019";"26 498";"";"26 498"
"HU";"Mozinet";"19/12/2019";"9 215";"5 073";"14 288"
"IS";"Myndform";"08/11/2019";"2 054";"";"2 054"
"IT";"Koch Media (IT)";"26/09/2019";"118 576";"700";"119 276"
"LT";"Acme (LT)";"15/11/2019";"19 929";"24";"19 953"
"LU";"";"";"7 081";"";"7 081"
"LV";"Acme (LV)";"27/09/2019";"10 774";"327";"11 101"
"ME";"Blitz Film & Video (ME)";"";"538";"7";"545"
"MK";"Blitz Film (MK)";"";"830";"";"830"
"NL";"WW Entertainment";"10/10/2019";"150 618";"3 930";"154 548"
"NO";"SF Norway";"22/11/2019";"41 222";"8 874";"50 096"
"PL";"Monolith";"08/11/2019";"309 225";"";"309 225"
"PT";"NOS Lusomundo Audiovisuais (PT)";"12/12/2019";"95 094";"27 879";"122 973"
"RU";"Volga (RU)";"23/01/2020";"";"102 441";"102 441"
"SE";"Svensk Filmindustri";"04/10/2019";"68 566";"";"68 566"
"SI";"Blitz Film & Video Distribution (SI)";"31/10/2019";"13 018";"409";"13 427"
"SK";"Continental Film (SK)";"17/10/2019";"33 574";"272";"33 846"
"TR";"Bir Film";"17/01/2020";"";"45 715";"45 715"
"EUR EU";"";"";"3 852 565";"188 946";"4 041 511"
"EUR OBS";"";"";"3 995 454";"349 383";"4 344 837"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019"
" - film_id : 83933"
