"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2018";"2020";"2015-2020";"Total since 2011"
"AT";"Universal Pictures (AT)";"07/10/2011";"254 073";"";"";"";"";"";"";"";"";"254 073"
"BA";"Ekran, Oskar / Taramount";"15/09/2011";"17 979";"";"";"";"";"";"";"";"";"17 979"
"BE";"UPI (BE)";"10/12/2011";"220 948";"";"";"";"";"";"";"";"";"220 948"
"BG";"Forum Film (BG)";"19/09/2011";"43 181";"";"";"";"";"";"";"";"";"43 181"
"CH";"UIP (CH)";"29/07/2011";"231 947";"358";"";"";"";"";"";"";"";"232 305"
"CZ";"CinemArt (CZ)";"13/10/2011";"97 671";"5 086";"734";"253";"70";"30";"226";"3";"329";"104 073"
"DE";"Universal Pictures (DE)";"06/10/2011";"1 615 772";"9 918";"";"";"";"";"";"";"";"1 625 690"
"DK";"";"";"65 149";"";"";"";"";"";"";"";"";"65 149"
"EE";"Forum Cinemas (EE)";"21/10/2011";"39 723";"62";"";"";"";"";"";"";"";"39 785"
"ES";"Universal Pictures Int'l Spain";"30/09/2011";"791 834";"1 504";"";"";"";"";"72";"";"72";"793 410"
"FI";"Finnkino";"14/10/2011";"276 581";"2 702";"";"";"";"";"";"";"";"279 283"
"FR";"StudioCanal (FR)";"19/10/2011";"328 976";"";"";"";"";"";"";"";"";"328 976"
"GB";"Universal Pictures (GB)";"07/10/2011";"3 401 562";"10 993";"";"";"87";"";"";"";"87";"3 412 642"
"GR";"UIP (GR)";"";"151 449";"";"";"";"";"";"";"";"";"151 449"
"HR";"Blitz Film & Video Distribution (HR)";"15/09/2011";"92 173";"";"";"";"";"";"";"";"";"92 173"
"HU";"UIP (HU)";"24/11/2011";"109 812";"";"";"";"";"";"";"";"";"109 812"
"IT";"Universal (IT)";"28/10/2011";"405 100";"575";"";"";"";"";"";"";"";"405 675"
"LT";"Forum Cinemas / Universal";"21/10/2011";"53 700";"";"";"";"";"";"";"";"";"53 700"
"LV";"Forum Cinemas (LV)";"21/10/2011";"46 177";"538";"";"";"";"";"";"";"";"46 715"
"NL";"Universal Pictures Int (NL)";"06/10/2011";"428 794";"338";"";"";"";"";"";"";"";"429 132"
"NO";"UIP (NO)";"30/09/2011";"132 114";"";"";"";"";"";"";"";"";"132 114"
"PL";"UIP (PL)";"16/09/2011";"174 909";"";"";"";"";"";"";"";"";"174 909"
"PT";"ZON Lusomundo Audiovisuais";"05/10/2011";"360 119";"333";"";"";"";"";"";"";"";"360 452"
"RO";"Ro-Image 2000";"23/09/2011";"113 966";"326";"";"";"";"";"";"";"";"114 292"
"RU";"P And I Films";"15/09/2011";"851 671";"";"";"";"";"";"";"";"";"851 671"
"SE";"UIP / Universal";"07/10/2011";"122 522";"2 488";"";"";"";"";"";"";"";"125 010"
"SI";"Karantanija Cinemas";"15/09/2011";"99 725";"316";"";"";"7";"";"";"";"7";"100 048"
"SK";"TatraFilm/Bontonfilm";"13/10/2011";"26 784";"379";"";"";"";"";"";"";"";"27 163"
"TR";"UIP (TR)";"28/10/2011";"41 914";"1 302";"";"";"";"";"";"";"";"43 216"
"EUR EU";"";"";"9 320 700";"35 558";"734";"253";"164";"30";"298";"3";"495";"9 357 740"
"EUR OBS";"";"";"10 596 325";"37 218";"734";"253";"164";"30";"298";"3";"495";"10 635 025"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 37220"
