"Market";"Distributor";"Release date";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2014-2016";"Total since 2010"
"AT";"Elmo Movie World";"20/01/2011";"";"49 316";"";"";"";"";"";"";"49 316"
"BA";"Blitz Film i Video, Oskar / MCF (BA)";"24/03/2011";"";"1 524";"";"";"";"";"";"";"1 524"
"BE";"Belga Films (BE)";"22/12/2010";"22 522";"";"";"";"";"";"";"";"22 522"
"BG";"Forum Film (BG)";"19/11/2010";"35 224";"9 221";"";"";"";"";"";"";"44 445"
"CH";"Rialto Film (CH)";"05/01/2011";"";"41 306";"";"";"";"";"";"";"41 306"
"CZ";"Bioscop (AQS)";"20/01/2011";"";"25 368";"401";"129";"72";"60";"69";"201";"26 099"
"DE";"StudioCanal (DE)";"20/01/2011";"";"407 197";"";"";"";"";"";"";"407 197"
"DK";"";"";"100";"24 528";"";"";"";"";"";"";"24 628"
"EE";"Acme (EE)";"26/11/2010";"7 423";"2 025";"";"";"";"";"";"";"9 448"
"ES";"Tripictures";"05/01/2011";"2 999";"321 731";"";"";"";"";"";"";"324 730"
"FI";"SF Film Finland [FS Film]";"26/11/2010";"7 528";"1 179";"";"";"";"";"";"";"8 707"
"FR";"Metropolitan Filmexport";"08/12/2010";"169 342";"";"";"";"";"";"";"";"169 342"
"GB";"Lionsgate (GB)";"07/01/2011";"";"434 621";"";"";"";"";"";"";"434 621"
"GR";"Village";"09/12/2011";"64 973";"11 123";"";"";"";"";"";"";"76 096"
"HR";"Duplicato";"30/12/2010";"";"24 097";"";"";"";"";"";"";"24 097"
"HU";"Forum-Hungary";"20/01/2011";"";"65 966";"";"";"";"";"";"";"65 966"
"IT";"Medusa Film";"08/04/2011";"";"589 832";"190";"";"";"";"";"";"590 022"
"LT";"Acme (LT)";"03/12/2010";"5 801";"1 446";"";"";"";"";"";"";"7 247"
"LV";"Acme (LV)";"26/11/2010";"7 760";"1 532";"";"";"";"";"";"";"9 292"
"NL";"Entertainment One Benelux";"09/12/2010";"64 042";"48 033";"177";"";"";"";"";"";"112 252"
"NO";"SF Norway";"03/12/2010";"11 651";"3 321";"";"";"";"";"";"";"14 972"
"PL";"Monolith";"19/11/2010";"180 365";"28 793";"";"";"";"";"";"";"209 158"
"PT";"Pris Audiovisuais";"27/01/2011";"";"123 811";"30";"";"7";"";"";"7";"123 848"
"RO";"Media Pro Distributions";"19/11/2010";"49 678";"";"";"";"";"";"";"";"49 678"
"RU";"West Video";"18/11/2010";"507 711";"";"";"";"";"";"";"";"507 711"
"SE";"SF Film (SE)";"03/12/2010";"33 334";"19 682";"";"";"";"";"";"";"53 016"
"SK";"Magic Box Slovakia";"17/03/2011";"";"3 895";"";"";"";"";"";"";"3 895"
"TR";"Tiglon";"25/02/2011";"";"60 048";"238";"";"";"";"";"";"60 286"
"EUR EU";"";"";"651 091";"2 193 396";"798";"129";"79";"60";"69";"208";"2 845 622"
"EUR OBS";"";"";"1 170 453";"2 299 595";"1 036";"129";"79";"60";"69";"208";"3 471 421"
"US_CA";"Lionsgate (US)";"09/11/2010";"2 677 991";"";"";"";"";"";"";"";"2 677 991"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2015, 2014, 2013, 2012, 2011, 2010"
" - film_id : 35304"
