"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Constantin Film (AT)";"24/08/2017";"6 778";"";"";"";"6 778"
"BA";"Una Film";"";"563";"";"";"";"563"
"BE";"Vertigo Films (BE)";"15/02/2017";"47 838";"";"";"";"47 838"
"CH";"Pathé Films (CH)";"15/02/2017";"26 101";"";"";"";"26 101"
"CZ";"Bontonfilm";"12/10/2017";"14 639";"3 702";"261";"202";"18 804"
"DE";"StudioCanal (DE)";"03/08/2017";"96 231";"2 388";"64";"";"98 683"
"EE";"Estinfilm";"26/05/2017";"1 395";"";"";"";"1 395"
"ES";"Vertigo Films (ES)";"15/09/2017";"42 031";"65";"";"";"42 096"
"FR";"StudioCanal (FR)";"15/02/2017";"3 581 337";"";"";"";"3 581 337"
"GR";"Odeon (GR)";"15/06/2017";"11 966";"264";"";"";"12 230"
"HU";"Big Bang Media";"20/04/2017";"16 710";"";"";"";"16 710"
"IT";"Medusa Film";"28/09/2017";"29 655";"";"";"";"29 655"
"LU";"Vertigo Films (LU)";"15/02/2017";"2 718";"";"";"";"2 718"
"PL";"Monolith";"21/07/2017";"123 476";"";"278";"";"123 754"
"PT";"NOS Lusomundo Audiovisuais (PT)";"24/08/2017";"10 029";"";"";"";"10 029"
"RO";"Ro-Image 2000";"10/03/2017";"16 384";"";"";"";"16 384"
"RU";"Volga (RU)";"08/03/2017";"45 011";"";"";"";"45 011"
"SI";"Karantanija Cinemas";"07/07/2017";"2 585";"";"";"";"2 585"
"SK";"Bontonfilm (SK)";"12/10/2017";"31 397";"1 230";"";"4";"32 631"
"TR";"Ozen Film";"08/12/2017";"412";"";"";"";"412"
"EUR EU";"";"";"4 035 169";"7 649";"603";"206";"4 043 627"
"EUR OBS";"";"";"4 107 256";"7 649";"603";"206";"4 115 714"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 72709"
