"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2017"
"BA";"MCF (BA)";"03/01/2019";"";"293";"66";"359"
"BE";"Belga Films (BE)";"07/02/2018";"67 455";"119";"172";"67 746"
"CH";"Pathé Films (CH)";"14/02/2018";"22 772";"48";"";"22 820"
"CZ";"Mirius FD";"04/10/2018";"5 356";"1 425";"43";"6 824"
"EE";"Must Käsi (EE)";"20/02/2019";"";"934";"";"934"
"FR";"Gaumont Distribution";"14/02/2018";"1 686 522";"";"";"1 686 522"
"HU";"Vertigo (HU)";"26/04/2018";"6 467";"13";"66";"6 546"
"IT";"Notorious Pictures";"22/02/2018";"445 631";"";"";"445 631"
"LT";"Europos kinas";"30/03/2018";"979";"";"";"979"
"LU";"Belga Film (LU)";"07/02/2018";"1 197";"";"";"1 197"
"ME";"MCF (ME)";"";"834";"171";"";"1 005"
"PL";"Monolith";"31/05/2018";"200 103";"3 537";"";"203 640"
"RU";"Pioneer Film (RU)";"06/09/2018";"35 745";"3 095";"";"38 840"
"SI";"Fivia";"08/03/2018";"1 833";"152";"";"1 985"
"SK";"Continental Film (SK)";"31/05/2018";"10 967";"41";"";"11 008"
"EUR EU";"";"";"2 426 510";"6 221";"281";"2 433 012"
"EUR OBS";"";"";"2 485 861";"9 828";"347";"2 496 036"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 77603"
