"Market";"Distributor";"Release date";"2006";"2007";"2008";"2013";"2014";"Total since 2006"
"BE";"Les Films de l'Élysée (BE)";"01/11/2006";"120 928";"6 247";"";"";"";"127 175"
"CH";"Frenetic Films (CH)";"01/11/2006";"48 841";"13 129";"143";"75";"";"62 188"
"FR";"StudioCanal (FR)";"01/11/2006";"3 349 098";"";"";"";"";"3 349 098"
"GB";"Optimum Releasing";"02/11/2007";"";"11 953";"887";"";"37";"12 877"
"GR";"";"";"";"2 015";"";"";"";"2 015"
"HU";"Best Hollywood";"30/08/2007";"";"7 135";"213";"";"";"7 348"
"LI";"Frenetic Films (LI)";"";"";"133";"";"";"";"133"
"LU";"Les Films de l'Élysée (LU)";"01/11/2006";"5 292";"";"";"";"";"5 292"
"PL";"SPI Poland";"09/02/2007";"";"40 334";"";"";"";"40 334"
"SI";"Fivia";"12/07/2007";"";"9 053";"";"186";"";"9 239"
"EUR EU";"";"";"3 475 318";"76 737";"1 100";"186";"37";"3 553 378"
"EUR OBS";"";"";"3 524 159";"89 999";"1 243";"261";"37";"3 615 699"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2013, 2008, 2007, 2006"
" - film_id : 25575"
