"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"Total since 2001"
"AT";"";"";"5 701";"";"";"";"5 701"
"BE";"";"";"102 408";"";"";"";"102 408"
"BG";"";"";"";"5 151";"";"";"5 151"
"CH";"";"";"16 959";"";"";"";"16 959"
"CY";"";"";"";"1 080";"";"";"1 080"
"CZ";"Bioscop (AQS)";"19/09/2002";"";"19 233";"2 947";"16";"22 196"
"DE";"";"26/07/2001";"32 670";"";"";"";"32 670"
"DK";"";"";"";"478";"";"";"478"
"ES";"Manga Films";"23/08/2002";"";"241 250";"974";"";"242 224"
"FI";"";"";"";"1 278";"";"";"1 278"
"FR";"";"";"1 212 208";"690";"";"";"1 212 898"
"GB";"";"";"";"159 213";"";"";"159 213"
"HU";"";"";"101 713";"";"";"";"101 713"
"IS";"";"";"";"441";"";"";"441"
"LU";"";"";"3 544";"";"";"";"3 544"
"PL";"";"";"18 835";"";"";"";"18 835"
"RU";"";"";"195 312";"";"";"";"195 312"
"SE";"";"";"";"985";"";"";"985"
"SK";"Continental Film (SK)";"26/12/2002";"";"1 511";"5 509";"334";"7 354"
"TR";"Ozen Film";"08/02/2002";"";"159 875";"";"";"159 875"
"EUR EU";"";"";"1 477 079";"430 869";"9 430";"350";"1 917 728"
"EUR OBS";"";"";"1 689 350";"591 185";"9 430";"350";"2 290 315"
"US_CA";"";"";"887 112";"";"";"";"887 112"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2004, 2003, 2002, 2001"
" - film_id : 17409"
