"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"Total since 2015"
"AT";"Thimfilm";"21/10/2016";"";"5 406";"";"";"";"5 406"
"BA";"Una Film";"";"";"2 947";"";"";"";"2 947"
"BE";"Cineart (BE)";"02/12/2015";"57 483";"27 265";"";"";"";"84 748"
"CH";"Pathé Films (CH)";"02/12/2015";"17 099";"10 519";"";"";"";"27 618"
"CZ";"Bontonfilm";"23/06/2016";"";"2 479";"81";"";"739";"3 299"
"DE";"SquareOne Entertainment (DE)";"20/10/2016";"";"16 051";"97";"";"";"16 148"
"FR";"Universal Pictures Intl France (FR)";"02/12/2015";"2 349 746";"";"";"";"";"2 349 746"
"GR";"Odeon (GR)";"16/06/2016";"";"4 939";"";"";"";"4 939"
"HU";"Big Bang Media";"24/12/2015";"22 048";"30 033";"";"";"";"52 081"
"IS";"Sena";"17/01/2016";"";"1 430";"";"";"";"1 430"
"LU";"Cineart (LU)";"02/12/2015";"2 961";"986";"";"";"";"3 947"
"PL";"Kino Swiat";"11/03/2016";"";"44 624";"";"";"";"44 624"
"PT";"Pris Audiovisuais";"18/08/2016";"";"6 759";"";"";"";"6 759"
"RO";"Ro-Image 2000";"23/12/2015";"24 404";"26 405";"";"";"";"50 809"
"RU";"Central Partnership (RU)";"03/12/2015";"145 346";"484";"";"";"";"145 830"
"SI";"Karantanija Cinemas";"17/12/2015";"2 321";"790";"";"";"";"3 111"
"SK";"Bontonfilm (SK)";"23/06/2016";"";"7 265";"150";"100";"";"7 515"
"EUR EU";"";"";"2 458 963";"173 002";"328";"100";"739";"2 633 132"
"EUR OBS";"";"";"2 621 408";"188 382";"328";"100";"739";"2 810 957"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015"
" - film_id : 63951"
