"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2015-2016";"Total since 2011"
"AT";"Thimfilm";"20/01/2012";"";"191";"";"";"";"";"";"191"
"BE";"Cineart (BE)";"19/10/2011";"22 801";"2 844";"42";"";"";"";"";"25 687"
"CH";"Frenetic Films (CH)";"19/10/2011";"25 920";"3 182";"52";"";"";"";"";"29 154"
"DE";"Wild Bunch (DE)";"27/10/2011";"3 406";"1 529";"89";"";"";"";"";"5 024"
"DK";"";"";"619";"";"";"";"";"";"";"619"
"EE";"Tallinnfilm (EE)";"06/04/2012";"223";"541";"";"";"";"";"";"764"
"ES";"Vertigo Films (ES)";"24/02/2012";"";"7 461";"13";"";"";"";"";"7 474"
"FI";"Cinema Mondo";"25/11/2011";"2 078";"331";"";"";"72";"";"72";"2 481"
"FR";"Mars Films (FR)";"19/10/2011";"2 337 525";"";"";"";"";"";"";"2 337 525"
"GB";"Curzon Artificial Eye (GB)";"15/06/2012";"";"8 910";"";"";"";"";"";"8 910"
"GR";"Spentzos Film";"13/09/2012";"";"74";"";"";"";"";"";"74"
"HR";"Continental Film (HR)";"19/10/2011";"";"";"355";"";"";"";"";"355"
"HU";"Mozinet";"29/03/2012";"";"2 056";"32";"";"";"";"";"2 088"
"IE";"Curzon Film World (IE)";"";"";"377";"";"";"";"";"";"377"
"IT";"Lucky Red";"03/02/2012";"";"24 000";"7";"";"";"";"";"24 007"
"LU";"Cineart (LU)";"21/10/2011";"1 698";"";"";"";"";"";"";"1 698"
"LV";"Tallinnfilm (LV)";"";"";"134";"";"";"";"";"";"134"
"NL";"Cinéart Nederland";"05/01/2012";"355";"5 140";"";"43";"";"";"";"5 538"
"NO";"Arthaus (NO)";"30/03/2012";"8";"5 804";"";"";"";"";"";"5 812"
"PT";"Midas Filmes";"26/01/2012";"";"1 812";"19";"";"";"";"";"1 831"
"RO";"IF-Independenta Film";"27/04/2012";"";"655";"";"119";"50";"3";"53";"827"
"SE";"TriArt Film";"10/02/2012";"";"3 560";"13";"";"";"";"";"3 573"
"TR";"M3 Film";"27/07/2012";"";"512";"";"";"";"";"";"512"
"EUR EU";"";"";"2 368 705";"59 615";"570";"162";"122";"3";"125";"2 429 177"
"EUR OBS";"";"";"2 394 633";"69 113";"622";"162";"122";"3";"125";"2 464 655"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 37660"
