"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2012-2017";"Total since 2008"
"AT";"Centfox";"20/02/2009";"";"49 970";"";"";"";"";"";"";"";"";"";"49 970"
"BE";"Belga Films (BE)";"16/04/2008";"62 086";"";"";"";"";"";"";"";"";"";"";"62 086"
"BG";"Aleksandra";"26/09/2008";"16 202";"";"";"";"";"";"";"";"";"";"";"16 202"
"CZ";"Bioscop (AQS)";"16/10/2008";"11 011";"2 634";"";"";"";"10";"";"";"37";"92";"139";"13 784"
"DE";"20th Century Fox (DE)";"19/02/2009";"";"441 529";"";"";"";"";"";"562";"";"";"562";"442 091"
"DK";"Scanbox Entertainment (DK)";"27/03/2009";"";"4 462";"";"";"";"";"";"";"";"";"";"4 462"
"EE";"Acme (EE)";"01/05/2009";"";"2 243";"";"";"";"";"";"";"";"";"";"2 243"
"ES";"Hispano Foxfilms";"23/07/2008";"626 987";"";"";"";"";"";"";"108";"";"";"108";"627 095"
"FI";"Scanbox Finland";"09/01/2009";"";"5 274";"";"";"";"";"";"";"";"";"";"5 274"
"FR";"EuropaCorp (FR)";"27/02/2008";"1 018 518";"";"";"";"";"";"";"";"";"";"";"1 018 518"
"GB";"20th Century Fox (GB)";"26/09/2008";"1 232 515";"315";"";"";"";"";"55";"1";"";"";"56";"1 232 886"
"HR";"Duplicato";"27/11/2008";"26 984";"4 197";"";"";"";"";"";"";"";"";"";"31 181"
"IS";"Myndform";"19/12/2008";"3 612";"";"";"";"";"";"";"";"";"";"";"3 612"
"IT";"20th Century Fox (IT)";"14/08/2008";"232 426";"";"";"";"";"247";"";"";"";"";"247";"232 673"
"LT";"ACME / Europa Corp.";"23/04/2009";"";"";"";"";"";"12";"";"";"";"";"12";"12"
"LU";"Belga Film (LU)";"24/09/2008";"4 856";"";"";"";"";"";"";"";"";"";"";"4 856"
"LV";"Acme (LV)";"";"";"1 403";"";"";"";"";"";"";"";"";"";"1 403"
"NL";"Independent Films (NL)";"01/05/2008";"90 765";"";"";"25";"";"";"";"";"";"";"";"90 790"
"NO";"Scanbox (NO)";"27/03/2009";"";"23 875";"98";"";"2";"";"";"";"";"";"2";"23 975"
"PL";"Monolith";"15/08/2008";"126 732";"";"680";"160";"";"";"";"3 265";"";"";"3 265";"130 837"
"PT";"ZON Lusomundo Audiovisuais";"30/10/2008";"44 314";"385";"";"";"";"";"";"";"";"";"";"44 699"
"RO";"Media Pro Pictures";"16/05/2008";"23 187";"1 026";"";"";"";"";"";"";"";"";"";"24 213"
"SE";"Scanbox Entertainment (SE)";"06/03/2009";"";"10 847";"";"";"";"";"";"";"";"";"";"10 847"
"SI";"Blitz Film & Video Distribution (SI)";"28/05/2009";"";"4 686";"";"";"";"";"";"";"";"";"";"4 686"
"SK";"Magic Box Slovakia";"11/12/2008";"1 911";"4 371";"";"";"";"73";"28";"";"";"";"101";"6 383"
"TR";"UIP (TR)";"09/05/2008";"33 854";"350";"";"";"";"";"";"";"";"";"";"34 204"
"EUR EU";"";"";"3 518 494";"533 342";"680";"185";"";"342";"83";"3 936";"37";"92";"4 490";"4 057 191"
"EUR OBS";"";"";"3 555 960";"557 567";"778";"185";"2";"342";"83";"3 936";"37";"92";"4 492";"4 118 982"
"US_CA";"20th Century Fox (US)";"30/01/2009";"";"19 333 465";"";"";"";"";"";"";"";"";"";"19 333 465"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
" - film_id : 30062"
