"Market";"Distributor";"Release date";"2004";"2005";"2006";"Total since 2004"
"BE";"Belga Films (BE)";"11/02/2004";"658 087";"3 875";"";"661 962"
"CH";"";"";"59 950";"";"";"59 950"
"CZ";"";"";"";"123";"";"123"
"FR";"Mars Films (FR)";"11/02/2004";"3 547 294";"";"173";"3 547 467"
"LU";"Belga Film (LU)";"11/02/2004";"10 747";"13";"";"10 760"
"NL";"Independent Films (NL)";"";"";"";"3";"3"
"PT";"Prisvideo Edicoes";"28/07/2005";"";"162";"";"162"
"RO";"IF-Independenta Film";"07/01/2005";"577";"373";"";"950"
"SI";"Cinemania Group";"07/10/2004";"330";"";"";"330"
"EUR EU";"";"";"4 217 035";"4 546";"176";"4 221 757"
"EUR OBS";"";"";"4 276 985";"4 546";"176";"4 281 707"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2006, 2005, 2004"
" - film_id : 22158"
