"Market";"Distributor";"Release date";"2009";"2010";"2012";"2013";"2014";"2018";"2019";"2020";"2014-2020";"Total since 2009"
"BE";"Belga Films (BE)";"15/04/2009";"78 836";"";"";"";"";"";"113";"";"113";"78 949"
"CH";"Pathé Films (CH)";"15/04/2009";"57 009";"";"133";"";"";"114";"21";"";"135";"57 277"
"ES";"Kiss Comunicacio";"05/02/2010";"";"1 929";"";"932";"9";"";"";"";"9";"2 870"
"FR";"Gaumont Distribution";"15/04/2009";"2 560 290";"";"";"";"";"";"";"922";"922";"2 561 212"
"GB";"ICA Cinema";"15/01/2010";"";"2 187";"";"";"";"";"";"";"";"2 187"
"LV";"Acme (LV)";"";"1 083";"";"";"";"";"";"";"";"";"1 083"
"RU";"Central Partnership / Premium Film";"08/10/2009";"";"48";"";"";"";"";"";"";"";"48"
"EUR EU";"";"";"2 640 209";"4 116";"";"932";"9";"";"113";"922";"1 044";"2 646 301"
"EUR OBS";"";"";"2 697 218";"4 164";"133";"932";"9";"114";"134";"922";"1 179";"2 703 626"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2014, 2013, 2012, 2010, 2009"
" - film_id : 31713"
