"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2015-2020";"Total since 2010"
"AT";"Luna Film";"22/07/2011";"50 035";"922";"330";"114";"";"";"";"";"";"";"";"51 401"
"BE";"Alternative Films (BE)";"26/01/2011";"858 128";"8 354";"";"565";"411";"449";"";"126";"328";"113";"1 427";"868 474"
"CH";"Pathé Films (CH)";"02/02/2011";"322 120";"360";"100";"";"";"";"";"";"";"";"";"322 580"
"DE";"Prokino Filmverleih";"28/07/2011";"512 136";"3 747";"752";"1 007";"30";"31";"158";"39";"";"";"258";"517 900"
"ES";"Wanda Vision";"08/04/2011";"94 023";"";"155";"";"";"";"";"";"";"";"";"94 178"
"FR";"Pathé Distribution (FR)";"02/02/2011";"8 148 204";"";"";"";"";"";"";"";"";"294";"294";"8 148 498"
"GB";"Pathé Distribution (GB)";"11/02/2011";"1 075";"";"";"";"";"";"";"";"";"";"";"1 075"
"HU";"Budapestfilm";"24/11/2011";"1 808";"1 683";"39";"";"";"";"";"";"";"";"";"3 530"
"IT";"Medusa Film";"23/09/2011";"144 030";"1 541";"59";"";"";"";"";"";"";"";"";"145 630"
"LU";"Alternative Film (LU)";"26/01/2011";"33 767";"";"";"";"";"";"";"";"";"";"";"33 767"
"NL";"Paradiso Entertainment (NL)";"26/05/2011";"23 784";"154";"";"";"";"";"";"";"";"";"";"23 938"
"PL";"Hagi Film";"10/06/2011";"53 811";"209";"";"13";"";"";"";"";"";"";"";"54 033"
"PT";"Valentim de Carvalho Multimedia";"26/05/2011";"12 459";"";"";"";"";"";"";"";"";"";"";"12 459"
"RU";"West Video";"14/04/2011";"11 566";"";"";"";"";"";"";"";"";"";"";"11 566"
"EUR EU";"";"";"9 933 260";"16 610";"1 335";"1 699";"441";"480";"158";"165";"328";"407";"1 979";"9 954 883"
"EUR OBS";"";"";"10 266 946";"16 970";"1 435";"1 699";"441";"480";"158";"165";"328";"407";"1 979";"10 289 029"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 37659"
