"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Constantin/Studiocanal";"28/06/2019";"";"9 403";"";"9 403"
"BA";"Blitz Film & Video Distribution (BA)";"15/11/2018";"1 087";"";"";"1 087"
"BE";"O Brother Distribution (BE)";"24/10/2018";"88 223";"3 573";"554";"92 350"
"CH";"Frenetic Films (CH)";"24/10/2018";"44 427";"14 349";"";"58 776"
"CZ";"Bohemia Motion Pictures (CZ)";"27/12/2018";"6 492";"8 266";"721";"15 479"
"DE";"StudioCanal (DE)";"27/06/2019";"";"96 428";"5 363";"101 791"
"EE";"BestFilm.eu (EE)";"26/04/2019";"";"1 944";"";"1 944"
"ES";"Flins y piniculas";"11/01/2019";"";"169 352";"";"169 352"
"FR";"StudioCanal (FR)";"24/10/2018";"4 162 550";"";"1 312";"4 163 862"
"GB";"StudioCanal (GB)";"04/01/2019";"";"6 362";"";"6 362"
"GR";"Spentzos Film";"13/06/2019";"";"22 311";"";"22 311"
"HR";"Blitz Film & Video Distribution (HR)";"25/11/2018";"5 373";"";"";"5 373"
"HU";"ADS";"14/03/2019";"";"5 302";"30";"5 332"
"IS";"Myndform";"07/02/2019";"";"1 414";"";"1 414"
"IT";"Eagle Pictures";"20/12/2018";"121 382";"57 268";"363";"179 013"
"LT";"Best Film (LT)";"01/03/2019";"";"1 837";"";"1 837"
"LU";"O Brother Distribution (LU)";"24/10/2018";"4 811";"278";"";"5 089"
"LV";"Best Film";"21/08/2019";"";"314";"25";"339"
"NL";"Cherry Pickers Filmdistributie (NL)";"11/04/2019";"";"77 821";"237";"78 058"
"NO";"SF Norway";"18/08/2018";"210";"158";"";"368"
"PT";"Outsider Films";"20/12/2018";"10 324";"2 584";"";"12 908"
"RU";"Volga (RU)";"08/11/2018";"16 358";"";"";"16 358"
"SE";"SF Film (SE)";"16/11/2018";"231";"200";"";"431"
"SK";"Continental Film (SK)";"06/12/2018";"5 035";"1 271";"";"6 306"
"EUR EU";"";"";"4 404 421";"464 514";"8 605";"4 877 540"
"EUR OBS";"";"";"4 466 503";"480 435";"8 605";"4 955 543"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 77684"
