"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"Total since 2001"
"AT";"";"";"56 569";"";"";"";"56 569"
"BE";"";"";"115 573";"";"";"";"115 573"
"BG";"";"";"";"9 014";"";"";"9 014"
"CH";"";"";"45 985";"2 101";"";"";"48 086"
"CY";"";"";"6 266";"1 165";"";"";"7 431"
"CZ";"Bioscop (AQS)";"08/08/2002";"";"22 958";"1 045";"74";"24 077"
"DE";"Tobis Film (DE)";"25/10/2001";"372 919";"14 289";"130";"6";"387 344"
"DK";"";"";"17 340";"94";"";"";"17 434"
"EE";"Catalana";"14/06/2002";"";"3 003";"";"";"3 003"
"ES";"";"";"362 669";"2 959";"1 284";"";"366 912"
"FR";"";"";"1 078 774";"4 128";"48";"";"1 082 950"
"GB";"";"";"343 498";"";"";"";"343 498"
"HU";"";"";"53 009";"";"6";"";"53 015"
"IS";"";"";"9 513";"";"";"";"9 513"
"IT";"";"";"30 793";"285";"";"";"31 078"
"NL";"";"";"94 490";"";"";"";"94 490"
"NO";"";"";"19 268";"";"";"";"19 268"
"PL";"Monolith";"01/02/2002";"";"35 888";"";"";"35 888"
"PT";"";"";"73 864";"1 311";"";"";"75 175"
"RO";"New Films Intl.";"08/02/2002";"";"54 808";"1 174";"";"55 982"
"SE";"";"";"62 869";"";"";"";"62 869"
"SK";"Continental Film (SK)";"28/11/2002";"";"6 430";"3 186";"";"9 616"
"TR";"";"";"91 772";"";"";"";"91 772"
"EUR EU";"";"";"2 668 633";"156 332";"6 873";"80";"2 831 918"
"EUR OBS";"";"";"2 835 171";"158 433";"6 873";"80";"3 000 557"
"US_CA";"";"";"6 835 830";"";"";"";"6 835 830"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2004, 2003, 2002, 2001"
" - film_id : 17329"
