"Market";"Distributor";"Release date";"2016";"2017";"Total since 2016"
"BE";"Alternative Films (BE)";"24/02/2016";"91 882";"";"91 882"
"CH";"JMH Distributions (CH)";"24/02/2016";"23 224";"";"23 224"
"CZ";"Bohemian Productions";"30/06/2016";"2 165";"5";"2 170"
"FR";"Gaumont Distribution";"";"1 951 009";"";"1 951 009"
"HU";"Cinetel";"05/01/2017";"";"4 772";"4 772"
"LU";"Alternative Film (LU)";"24/02/2016";"1 814";"";"1 814"
"RO";"Odeon Cineplex";"11/03/2016";"9 304";"";"9 304"
"RU";"MF";"16/03/2017";"";"20 754";"20 754"
"SK";"Continental Film (SK)";"14/07/2016";"6 619";"";"6 619"
"EUR EU";"";"";"2 062 793";"4 777";"2 067 570"
"EUR OBS";"";"";"2 086 017";"25 531";"2 111 548"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016"
" - film_id : 69532"
