"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"Total since 2014"
"AT";"Universal Pictures (AT)";"14/08/2014";"228 842";"";"";"";"";"228 842"
"BE";"Belga Films (BE)";"06/08/2014";"495 489";"";"";"";"";"495 489"
"BG";"Forum Film (BG)";"01/08/2014";"205 558";"";"";"";"";"205 558"
"CH";"Universal Pictures (CH)";"07/08/2014";"255 419";"25";"";"";"";"255 444"
"CY";"Universal (CY)";"";"8 988";"";"";"";"";"8 988"
"CZ";"CinemArt (CZ)";"07/08/2014";"110 816";"1 223";"";"";"";"112 039"
"DE";"Universal Pictures (DE)";"14/08/2014";"1 640 892";"4 719";"";"";"";"1 645 611"
"DK";"UIP (DK)";"07/08/2014";"115 636";"";"";"";"";"115 636"
"EE";"VaataFilmi";"15/08/2014";"43 064";"";"";"";"";"43 064"
"ES";"Universal Pictures Int'l Spain";"21/08/2014";"1 615 437";"688";"";"";"";"1 616 125"
"FI";"Finnkino";"08/08/2014";"47 172";"";"";"";"";"47 172"
"FR";"EuropaCorp (FR)";"06/08/2014";"5 202 954";"";"";"";"";"5 202 954"
"GB";"Universal Pictures (GB)";"22/08/2014";"2 107 978";"14";"";"";"";"2 107 992"
"GR";"UIP (GR)";"28/08/2014";"141 512";"";"";"";"";"141 512"
"HR";"Universal Pictures (HR)";"28/08/2014";"75 764";"";"";"";"";"75 764"
"HU";"UIP-Dunafilm";"07/08/2014";"217 390";"103";"";"";"";"217 493"
"IS";"Myndform";"";"15 252";"";"";"";"";"15 252"
"IT";"Universal (IT)";"25/09/2014";"1 131 847";"1 252";"";"";"2";"1 133 101"
"LT";"Forum Cinemas / Universal";"15/08/2014";"29 538";"";"";"";"";"29 538"
"LU";"Belga Film (LU)";"06/08/2014";"21 723";"";"";"";"";"21 723"
"LV";"Forum Cinemas (LV)";"15/08/2014";"44 101";"";"";"";"";"44 101"
"ME";"";"";"3 142";"";"";"";"";"3 142"
"MK";"United";"";"2 133";"";"";"";"";"2 133"
"NL";"Independent Films (NL)";"31/07/2014";"334 162";"";"";"";"";"334 162"
"NO";"UIP (NO)";"12/09/2014";"86 993";"";"";"";"";"86 993"
"PL";"UIP (PL)";"14/08/2014";"567 620";"";"";"";"";"567 620"
"PT";"NOS Lusomundo Audiovisuais (PT)";"21/08/2014";"309 196";"";"";"";"";"309 196"
"RO";"Ro-Image 2000";"01/08/2014";"222 634";"263";"";"";"";"222 897"
"RU";"Universal Pictures Int'l - UPI (RU)";"11/09/2014";"3 435 030";"";"";"643";"";"3 435 673"
"SE";"UIP / Universal";"22/08/2014";"125 119";"";"";"";"";"125 119"
"SI";"Karantanija Cinemas";"21/08/2014";"41 799";"932";"";"";"";"42 731"
"SK";"Barracuda Movie/CinemArt (SK)";"07/08/2014";"49 585";"";"44";"";"";"49 629"
"TR";"UIP (TR)";"08/08/2014";"867 232";"";"";"";"";"867 232"
"EUR EU";"";"";"15 134 816";"9 194";"44";"";"2";"15 144 056"
"EUR OBS";"";"";"19 800 017";"9 219";"44";"643";"2";"19 809 925"
"MA";"";"";"39 832";"";"";"";"";"39 832"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014"
" - film_id : 45486"
