Market;Distributor;Release date;2001;2002;2003;2004;Total since 2001
BE;;;124 765;;;;124 765
CH;;;24 456;;;;24 456
FR;;;2 052 636;421;90;224;2 053 371
HU;;;;8 641;;;8 641
LU;;;4 481;;;;4 481
RO;;;;2 915;294;;3 209
RU;;;76 054;;;;76 054
EUR EU;;;2 181 882;11 977;384;224;2 194 467
EUR OBS;;;2 282 392;11 977;384;224;2 294 977
;;;;;;;
Film Information - Admissions;;;;;;;
 - source_country_ids : _All;;;;;;;
 - admission_years : 2004, 2003, 2002, 2001;;;;;;;
 - film_id : 17973;;;;;;;
