"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2011";"2013";"2014";"2011-2014";"Total since 2006"
"BE";"Victory Productions (BE)";"01/11/2006";"85 555";"5 319";"";"";"";"";"";"";"90 874"
"BG";"Aleksandra";"21/12/2007";"";"1 650";"6 424";"";"";"";"";"";"8 074"
"CH";"Pathé Films (CH)";"01/11/2006";"22 758";"6 291";"13";"";"4";"";"";"4";"29 066"
"CZ";"Bioscop/Magic Box";"15/03/2007";"";"2 009";"164";"";"";"";"";"";"2 173"
"DK";"Miracle Film";"04/01/2008";"";"";"3 173";"29";"";"";"";"";"3 202"
"FI";"Future Film (FI)";"28/09/2007";"";"446";"76";"";"";"";"";"";"522"
"FR";"EuropaCorp Dist/ARP";"01/11/2006";"2 661 754";"";"";"";"";"";"";"";"2 661 754"
"GB";"Revolver Films (GB)";"15/06/2007";"";"235 720";"";"";"";"";"111";"111";"235 831"
"GR";"";"28/06/2007";"";"14 922";"46";"";"";"";"";"";"14 968"
"IS";"Myndform";"";"";"684";"";"";"";"";"";"";"684"
"LU";"Victory Productions (LU)";"01/11/2006";"3 749";"";"";"";"";"";"";"";"3 749"
"NO";"Oslo Kinematografer";"";"";"";"178";"";"";"";"";"";"178"
"PL";"Best Film";"12/10/2007";"";"60 643";"";"";"";"";"";"";"60 643"
"PT";"ZON Lusomundo Audiovisuais";"26/04/2007";"";"13 651";"";"";"";"";"";"";"13 651"
"SE";"Noble Entertainment";"24/08/2007";"";"10 996";"16";"";"";"";"";"";"11 012"
"SI";"Fivia";"28/06/2007";"";"3 594";"";"";"";"70";"";"70";"3 664"
"TR";"Chantier Films";"06/04/2007";"";"7 906";"";"";"";"";"";"";"7 906"
"EUR EU";"";"";"2 751 058";"348 950";"9 899";"29";"";"70";"111";"181";"3 110 117"
"EUR OBS";"";"";"2 773 816";"363 831";"10 090";"29";"4";"70";"111";"185";"3 147 951"
"US_CA";"Music Box Films";"02/07/2008";"";"";"855 935";"";"";"";"";"";"855 935"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2013, 2011, 2009, 2008, 2007, 2006"
" - film_id : 25581"
