"Market";"Distributor";"Release date";"2019";"2020";"Total since 2019"
"AT";"Constantin/WildB (AT)";"24/01/2020";"";"2 099";"2 099"
"BA";"Una Film";"23/01/2020";"";"329";"329"
"BE";"Paradiso Filmed Entertainment";"30/10/2019";"28 019";"9 702";"37 721"
"BG";"Beta Film (BG)";"21/02/2020";"";"128";"128"
"CH";"Filmcoopi Zürich";"20/11/2019";"18 056";"19 557";"37 613"
"CZ";"Film Europe (CZ)";"30/01/2020";"838";"1 717";"2 555"
"DE";"Wild Bunch (DE)";"23/01/2020";"";"68 770";"68 770"
"DK";"FilmBazar";"02/01/2020";"705";"7 298";"8 003"
"EE";"Estinfilm";"31/01/2020";"";"378";"378"
"ES";"Caramelfilms";"22/11/2019";"47 208";"";"47 208"
"FI";"Cinemanse (FI)";"06/03/2020";"";"4 202";"4 202"
"FR";"Le Pacte";"20/11/2019";"1 698 916";"482 443";"2 181 359"
"GB";"ALTITUDE/AEROFILMS";"04/09/2020";"";"25 564";"25 564"
"GR";"Seven Films";"14/11/2019";"3 298";"";"3 298"
"HR";"Editus (HR)";"30/01/2020";"";"1 498";"1 498"
"HU";"Vertigo (HU)";"12/03/2020";"";"1 954";"1 954"
"IS";"Sena";"07/02/2020";"";"240";"240"
"IT";"Lucky Red";"15/06/2020";"";"32 608";"32 608"
"LT";"Greta Garbo Films (LT)";"07/02/2020";"";"880";"880"
"LU";"Santa Fe Productions (LU)";"20/11/2019";"2 031";"297";"2 328"
"ME";"Taramount film (ME)";"";"";"43";"43"
"MK";"Premium Film (MK)";"";"338";"20";"358"
"NL";"Paradiso Entertainment (NL)";"20/02/2020";"";"49 247";"49 247"
"NO";"Selmer Media";"28/02/2020";"314";"8 124";"8 438"
"PL";"M2 Films";"28/02/2020";"";"39 817";"39 817"
"PT";"Alambique";"20/02/2020";"";"6 196";"6 196"
"RO";"IF-Independenta Film";"24/01/2020";"";"3 634";"3 634"
"RU";"Russian World Vision";"19/12/2019";"3 733";"1 151";"4 884"
"SI";"Karantanija Cinemas";"21/11/2019";"699";"1 404";"2 103"
"SK";"Film Europe (SK)";"05/03/2020";"80";"568";"648"
"TR";"Filmarti (TR)";"31/01/2020";"";"12 223";"12 223"
"EUR EU";"";"";"1 781 794";"740 404";"2 522 198"
"EUR OBS";"";"";"1 804 235";"782 091";"2 586 326"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019"
" - film_id : 85000"
