"Market";"Distributor";"Release date";"2001";"2002";"2003";"2005";"2007";"2009";"2013";"2014";"2015";"2007-2015";"Total since 2000"
"BE";"";"";"53 860";"";"";"";"";"";"";"";"";"";"53 860"
"CH";"Frenetic Films (CH)";"04/04/2001";"16 590";"";"";"";"11";"";"";"";"";"11";"16 601"
"CZ";"";"";"6 764";"";"";"";"";"";"";"";"";"";"6 764"
"ES";"Lauren Films";"05/07/2002";"";"458 366";"8";"14";"";"1 367";"1";"71";"399";"1 838";"460 226"
"FR";"";"";"2 020 903";"111";"";"";"";"";"";"";"";"";"2 021 014"
"HU";"";"";"89 599";"";"";"";"";"";"";"";"";"";"89 599"
"IT";"";"";"373 398";"3 575";"50";"";"";"";"";"";"";"";"377 023"
"LU";"";"";"2 509";"";"";"";"";"";"";"";"";"";"2 509"
"PL";"Best Film";"28/06/2002";"";"19 859";"";"";"";"";"";"";"";"";"19 859"
"RO";"IF-Independenta Film";"14/12/2001";"";"2 306";"84";"";"";"";"";"";"";"";"2 390"
"RU";"";"";"172 776";"";"";"";"";"";"";"";"";"";"172 776"
"SK";"SPI SK";"31/01/2002";"";"6 684";"";"";"";"";"";"";"";"";"6 684"
"EUR EU";"";"";"2 547 033";"490 901";"142";"14";"";"1 367";"1";"71";"399";"1 838";"3 039 928"
"EUR OBS";"";"";"2 736 399";"490 901";"142";"14";"11";"1 367";"1";"71";"399";"1 849";"3 229 305"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2014, 2013, 2009, 2007, 2005, 2003, 2002, 2001"
" - film_id : 16839"
