"Market";"Distributor";"Release date";"2012";"2013";"Total since 2012"
"BE";"Belga Films (BE)";"24/10/2012";"61 524";"";"61 524"
"CH";"Praesens Film";"07/11/2012";"8 297";"23";"8 320"
"FR";"Warner Bros. (FR)";"24/10/2012";"1 830 625";"32 479";"1 863 104"
"LU";"Belga Film (LU)";"24/10/2012";"714";"";"714"
"EUR EU";"";"";"1 892 863";"32 479";"1 925 342"
"EUR OBS";"";"";"1 901 160";"32 502";"1 933 662"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2013, 2012"
" - film_id : 39229"
