"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Filmladen/Concorde";"23/03/2018";"34 270";"281";"";"34 551"
"BA";"Blitz Film & Video Distribution (BA)";"07/06/2018";"988";"";"";"988"
"BE";"Alternative Films (BE)";"08/02/2018";"277 815";"994";"";"278 809"
"CH";"Pathé Films (CH)";"28/02/2018";"111 018";"133";"";"111 151"
"DE";"LEONINE Distribution GmbH";"22/03/2018";"298 993";"1 796";"3";"300 792"
"ES";"DeAPlaneta";"11/05/2018";"124 075";"";"";"124 075"
"FR";"Pathé Distribution (FR)";"28/02/2018";"5 626 049";"";"358";"5 626 407"
"GR";"Feelgood";"02/08/2018";"8 822";"";"";"8 822"
"HR";"Blitz Film & Video Distribution (HR)";"03/05/2018";"4 358";"";"";"4 358"
"HU";"ADS";"14/06/2018";"3 344";"117";"";"3 461"
"LU";"Alternative Film (LU)";"08/02/2018";"11 053";"";"";"11 053"
"NL";"Paradiso Entertainment (NL)";"26/07/2018";"18 225";"275";"";"18 500"
"NO";"Fidalgo Filmdistribusjon (NO)";"13/07/2018";"1 274";"";"";"1 274"
"PL";"Kino Swiat";"10/08/2018";"46 890";"1 143";"";"48 033"
"PT";"Pris Audiovisuais";"23/08/2018";"28 999";"46";"";"29 045"
"RO";"Cine Europa (RO)";"01/06/2018";"8 315";"197";"";"8 512"
"RU";"Cascade Film (RU)";"31/05/2018";"18 290";"";"";"18 290"
"EUR EU";"";"";"6 491 208";"4 849";"361";"6 496 418"
"EUR OBS";"";"";"6 622 778";"4 982";"361";"6 628 121"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 79610"
