"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2011";"2013";"2014";"2015";"2016";"2018";"2019";"2011-2019";"Total since 2007"
"AT";"Filmcasino & Polyfilm";"13/06/2008";"";"14 012";"475";"";"";"";"";"";"";"";"";"";"14 487"
"BE";"Cineart (BE)";"08/08/2007";"43 010";"1 391";"644";"";"";"";"";"";"";"";"";"";"45 045"
"CH";"Frenetic Films (CH)";"06/06/2007";"22 902";"13 078";"131";"";"";"";"";"";"";"28";"";"28";"36 139"
"DE";"Arsenal Filmverleih";"20/12/2007";"40 343";"87 143";"";"277";"";"";"119";"";"139";"";"79";"337";"128 100"
"ES";"Golem Distribucion";"11/09/2007";"165 359";"16 323";"418";"132";"169";"";"";"";"";"";"59";"228";"182 460"
"FR";"StudioCanal (FR)";"06/06/2007";"1 361 959";"";"";"";"";"";"";"";"";"";"";"";"1 361 959"
"GB";"Cinefile (GB)";"21/11/2008";"";"5 500";"";"";"";"";"46";"340";"";"";"";"386";"5 886"
"IT";"Bim Distribuzione";"23/11/2007";"49 564";"34 986";"";"";"";"";"";"";"";"";"";"";"84 550"
"LI";"Frenetic Films (LI)";"06/06/2007";"";"257";"";"";"";"";"";"";"";"";"";"";"257"
"NL";"Cinéart Nederland";"03/07/2008";"300";"31 764";"849";"2 055";"86";"38";"";"";"";"";"";"124";"35 092"
"NO";"Tour de Force";"26/12/2007";"1 194";"3 127";"";"";"";"";"";"";"";"";"";"";"4 321"
"PT";"ZON Lusomundo Audiovisuais";"29/11/2007";"864";"176";"";"";"";"";"";"";"";"";"";"";"1 040"
"EUR EU";"";"";"1 661 399";"191 295";"2 386";"2 464";"255";"38";"165";"340";"139";"";"138";"1 075";"1 858 619"
"EUR OBS";"";"";"1 685 495";"207 757";"2 517";"2 464";"255";"38";"165";"340";"139";"28";"138";"1 103";"1 899 336"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2016, 2015, 2014, 2013, 2011, 2010, 2009, 2008, 2007"
" - film_id : 26891"
