"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2014";"2020";"2008-2020";"Total since 2004"
"AT";"Polyfilm";"02/12/2005";"";"9 794";"12 845";"";"";"";"";"";"";"22 639"
"BE";"Cineart (BE)";"22/12/2004";"7 835";"7 621";"402";"";"";"";"";"";"";"15 858"
"BG";"Aleksandra";"";"";"";"";"20";"";"";"";"";"";"20"
"CH";"Frenetic Films (CH)";"22/12/2004";"3 650";"24 796";"";"";"";"";"";"61";"61";"28 507"
"DE";"Arsenal Filmverleih";"25/08/2005";"";"133 015";"3 332";"687";"";"";"72";"";"72";"137 106"
"DK";"Sunrise Film Distribution";"13/10/2006";"";"";"1 210";"49";"38";"55";"";"";"93";"1 352"
"ES";"Baditri";"19/04/2005";"";"38 878";"40";"182";"";"";"";"";"";"39 100"
"FR";"";"22/12/2004";"510 084";"1 298 543";"160";"";"";"";"";"";"";"1 808 787"
"LU";"Cineart (LU)";"21/01/2005";"";"1 649";"";"";"";"";"";"";"";"1 649"
"NL";"A-Film (NL)";"";"";"";"126";"";"";"";"";"";"";"126"
"RO";"New Films Intl.";"24/02/2006";"";"";"1 360";"30";"";"";"";"";"";"1 390"
"SE";"Nonstop Entertainment";"02/09/2005";"";"12 977";"";"";"";"";"";"";"";"12 977"
"EUR EU";"";"";"517 919";"1 502 477";"19 475";"968";"38";"55";"72";"";"165";"2 041 004"
"EUR OBS";"";"";"521 569";"1 527 273";"19 475";"968";"38";"55";"72";"61";"226";"2 069 511"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2014, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 22194"
