"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2018";"2017-2018";"Total since 2013"
"AT";"Filmcasino & Polyfilm";"30/08/2013";"20 704";"1 826";"290";"95";"";"";"";"22 915"
"BE";"Alternative Films (BE)";"01/05/2013";"";"501";"";"";"";"";"";"501"
"CH";"Pathé Films (CH)";"24/04/2013";"49 485";"580";"202";"50";"";"";"";"50 317"
"DE";"Prokino Filmverleih";"29/08/2013";"103 013";"9 138";"1 270";"361";"76";"53";"129";"113 911"
"ES";"Surtsey Films";"10/06/2014";"";"41 321";"1 784";"";"";"";"";"43 105"
"FR";"Pathé Distribution (FR)";"24/04/2013";"1 229 587";"";"";"";"";"";"";"1 229 587"
"HU";"Vertigo (HU)";"25/07/2013";"12 334";"30";"";"";"";"";"";"12 364"
"LU";"Alternative Film (LU)";"01/05/2013";"";"43";"";"";"";"";"";"43"
"PT";"NOS Lusomundo Audiovisuais (PT)";"01/08/2013";"757 594";"3 027";"189";"3";"300";"";"300";"761 113"
"EUR EU";"";"";"2 123 232";"55 886";"3 533";"459";"376";"53";"429";"2 183 539"
"EUR OBS";"";"";"2 172 717";"56 466";"3 735";"509";"376";"53";"429";"2 233 856"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014, 2013"
" - film_id : 43252"
