"Market";"Distributor";"Release date";"2016";"Total since 2016"
"BE";"Vertigo Films (BE)";"19/10/2016";"38 569";"38 569"
"CH";"Impuls Pictures";"19/10/2016";"34 775";"34 775"
"FR";"Gaumont Distribution";"";"1 947 182";"1 947 182"
"RU";"Megogo Distribution (RU)";"10/11/2016";"2 415";"2 415"
"EUR EU";"";"";"1 985 751";"1 985 751"
"EUR OBS";"";"";"2 022 941";"2 022 941"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016"
" - film_id : 69531"
