"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Wild Bunch (AT)";"27/02/2015";"";"31 515";"341";"";"";"";"";"";"31 856"
"BA";"Blitz Film & Video Distribution (BA)";"18/12/2014";"448";"700";"";"";"";"";"";"";"1 148"
"BE";"Belga Films (BE)";"15/10/2014";"174 066";"10 989";"1 623";"279";"732";"126";"46";"904";"187 861"
"CH";"Frenetic Films (CH)";"15/10/2014";"87 132";"99 131";"73";"55";"94";"";"";"94";"186 485"
"CZ";"ACFK";"09/04/2015";"";"18 234";"553";"32";"";"22";"28";"50";"18 869"
"DE";"Senator Film Verleih";"26/02/2015";"";"402 563";"5 982";"659";"825";"64";"203";"1 092";"410 296"
"DK";"SF Film (DK)";"16/04/2015";"";"39 735";"";"";"";"";"";"";"39 735"
"EE";"Aurum Distribution (EE)";"27/03/2015";"";"6 539";"";"";"";"";"";"";"6 539"
"ES";"A Contracorriente Films";"09/12/2014";"";"373 017";"59";"35";"35";"19";"";"54";"373 165"
"FR";"Gaumont Distribution";"15/10/2014";"3 108 923";"";"";"";"";"";"";"";"3 108 923"
"GB";"Koch Media (GB)";"01/05/2015";"";"8 745";"";"79";"";"";"";"";"8 824"
"GR";"Odeon (GR)";"27/11/2014";"18 518";"698";"";"";"";"";"";"";"19 216"
"HR";"Blitz Film & Video Distribution (HR)";"18/12/2014";"2 520";"919";"";"";"";"";"";"";"3 439"
"HU";"Vertigo (HU)";"19/03/2015";"";"28 492";"252";"80";"";"";"";"";"28 824"
"IS";"Sena";"07/04/2015";"";"3 719";"";"";"";"";"";"";"3 719"
"IT";"01 Distribution";"23/04/2015";"";"177 316";"340";"112";"";"";"";"";"177 768"
"LT";"Top Film (LT)";"03/04/2015";"";"1 467";"";"";"";"";"";"";"1 467"
"LU";"Belga Film (LU)";"15/10/2014";"8 492";"37";"";"";"";"";"";"";"8 529"
"LV";"TFB Top Film Baltic (LV)";"03/04/2015";"";"3 167";"";"";"";"";"";"";"3 167"
"NL";"Independent Films (NL)";"13/11/2014";"180 777";"60 509";"1 348";"";"";"";"";"";"242 634"
"PL";"Gutek Film";"20/02/2015";"";"67 890";"1 065";"265";"";"";"";"";"69 220"
"PT";"NOS Lusomundo Audiovisuais (PT)";"26/03/2015";"";"46 789";"";"";"";"";"";"";"46 789"
"RU";"Top Film Distribution";"19/03/2015";"";"55 600";"";"";"";"";"";"";"55 600"
"SE";"SF Film (SE)";"01/05/2015";"";"8 944";"";"";"";"";"";"";"8 944"
"SI";"Blitz Film & Video Distribution (SI)";"25/12/2014";"1 008";"604";"189";"";"";"";"";"";"1 801"
"SK";"ASFK";"28/05/2015";"";"5 187";"491";"";"99";"166";"";"265";"5 943"
"TR";"M3 Film";"19/12/2014";"4 360";"849";"356";"";"";"";"";"";"5 565"
"EUR EU";"";"";"3 494 304";"1 293 356";"12 243";"1 541";"1 691";"397";"277";"2 365";"4 803 809"
"EUR OBS";"";"";"3 586 244";"1 453 355";"12 672";"1 596";"1 785";"397";"277";"2 459";"5 056 326"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 47308"
