"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2014";"2012-2014";"Total since 2008"
"BE";"Cineart (BE)";"17/12/2008";"48 580";"15 622";"";"";"";"";"";"64 202"
"BG";"Pro Films (BG)";"17/04/2009";"";"20 728";"";"";"";"800";"800";"21 528"
"CH";"Frenetic Films (CH)";"17/12/2008";"18 830";"13 303";"";"62";"";"";"";"32 195"
"FR";"Wild Bunch Distribution";"17/12/2008";"1 066 709";"708 669";"";"";"";"";"";"1 775 378"
"HU";"Best Hollywood";"05/03/2009";"";"16 482";"";"";"";"";"";"16 482"
"LT";"Acme (LT)";"";"";"";"";"11";"";"";"";"11"
"LU";"Cineart (LU)";"17/12/2008";"2 943";"";"";"";"";"";"";"2 943"
"LV";"Acme (LV)";"";"";"1 811";"";"";"";"";"";"1 811"
"NL";"Wild Bunch Benelux (September Distr.)";"01/01/2008";"";"18";"";"";"";"";"";"18"
"PL";"Kino Swiat";"28/08/2009";"";"38 861";"140";"";"";"";"";"39 001"
"PT";"ZON Lusomundo Audiovisuais";"12/07/2012";"";"";"";"";"7 277";"";"7 277";"7 277"
"SE";"Nonstop Entertainment";"06/10/2009";"";"49";"";"";"";"";"";"49"
"TR";"Pinema";"23/01/2009";"";"11 828";"";"";"";"";"";"11 828"
"EUR EU";"";"";"1 118 232";"802 240";"140";"11";"7 277";"800";"8 077";"1 928 700"
"EUR OBS";"";"";"1 137 062";"827 371";"140";"73";"7 277";"800";"8 077";"1 972 723"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2012, 2011, 2010, 2009, 2008"
" - film_id : 30058"
