"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2010";"2008-2010";"Total since 2004"
"BE";"Les Films de l'Élysée (BE)";"01/12/2004";"37 641";"15 359";"";"";"";"";"";"53 000"
"CH";"Pathé Films (CH)";"24/11/2004";"25 534";"";"";"";"9";"";"9";"25 543"
"CZ";"Bioscop/Magic Box";"16/06/2005";"";"22 070";"597";"";"";"74";"74";"22 741"
"DK";"Nordisk, Constantin, Fox";"12/05/2006";"";"";"572";"";"";"";"";"572"
"ES";"Sony Pictures Releasing De Espana";"03/01/2006";"";"";"73 942";"";"";"";"";"73 942"
"FI";"Nordisk Film Theatrical Dist.";"12/05/2006";"";"";"865";"";"";"";"";"865"
"FR";"";"";"1 667 729";"";"";"";"";"";"";"1 667 729"
"GB";"Tartan Films (GB)";"02/06/2006";"";"";"37 874";"";"";"";"";"37 874"
"GR";"Odeon (GR)";"06/05/2005";"";"8 363";"";"";"";"";"";"8 363"
"HU";"Best Hollywood";"21/04/2005";"";"23 083";"27";"24";"";"";"";"23 134"
"IT";"Medusa Film";"21/01/2005";"";"200 667";"";"";"";"";"";"200 667"
"LT";"Acme (LT)";"21/10/2005";"";"843";"";"";"";"";"";"843"
"LU";"Les Films de l'Élysée (LU)";"01/12/2004";"1 420";"127";"";"";"";"";"";"1 547"
"LV";"Acme (LV)";"15/07/2005";"";"4 783";"36";"";"";"";"";"4 819"
"NL";"Paradiso Entertainment (NL)";"14/07/2005";"";"2 781";"";"";"";"";"";"2 781"
"NO";"Nordisk Filmdistribusjon";"09/06/2006";"";"";"911";"";"";"";"";"911"
"PL";"Kino Swiat";"02/12/2005";"";"54 705";"6 579";"";"";"";"";"61 284"
"PT";"ZON Lusomundo Audiovisuais";"24/03/2005";"";"10 794";"";"";"";"";"";"10 794"
"RO";"IF-Independenta Film";"09/12/2005";"";"2 357";"839";"";"";"";"";"3 196"
"TR";"Ozen Film";"02/12/2005";"";"27 845";"";"";"";"";"";"27 845"
"EUR EU";"";"";"1 706 790";"345 932";"121 331";"24";"";"74";"74";"2 174 151"
"EUR OBS";"";"";"1 732 324";"373 777";"122 242";"24";"9";"74";"83";"2 228 450"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2010, 2008, 2007, 2006, 2005, 2004"
" - film_id : 22161"
