"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Filmladen";"06/04/2017";"";"32 574";"";"";"";"32 574"
"BA";"Blitz Film & Video Distribution (BA)";"16/03/2017";"";"1 304";"";"";"";"1 304"
"BE";"Alternative Films (BE)";"28/09/2016";"199 880";"543";"";"";"";"200 423"
"CH";"Pathé Films (CH)";"28/09/2016";"52 678";"8 805";"";"";"";"61 483"
"DE";"Wild Bunch (DE)";"06/04/2017";"";"47 247";"306";"77";"52";"47 682"
"ES";"Vértice Cine";"09/02/2017";"";"96 329";"";"";"";"96 329"
"FR";"Mars Films (FR)";"";"2 920 360";"";"";"";"";"2 920 360"
"GR";"Seven Films";"08/06/2017";"";"33 166";"659";"";"";"33 825"
"HR";"Blitz Film & Video Distribution (HR)";"16/03/2017";"";"5 873";"";"";"";"5 873"
"HU";"Vertigo (HU)";"01/06/2017";"";"16 109";"";"67";"";"16 176"
"IT";"Bim Distribuzione";"16/03/2017";"";"81 080";"408";"";"";"81 488"
"LT";"Kino Pasaka (LT)";"06/10/2017";"";"2 245";"";"";"";"2 245"
"LU";"Alternative Film (LU)";"28/09/2016";"5 951";"";"";"";"";"5 951"
"PL";"Monolith";"25/12/2016";"73 689";"21 383";"";"";"";"95 072"
"PT";"NOS Lusomundo Audiovisuais (PT)";"14/09/2017";"";"1 787";"";"";"";"1 787"
"RU";"Luxor";"08/06/2017";"";"95 583";"486";"";"";"96 069"
"EUR EU";"";"";"3 199 880";"338 336";"1 373";"144";"52";"3 539 785"
"EUR OBS";"";"";"3 252 558";"444 028";"1 859";"144";"52";"3 698 641"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 69536"
