"Market";"Distributor";"Release date";"2019";"2020";"Total since 2019"
"AT";"Constantin Film (AT)";"29/11/2019";"10 871";"308";"11 179"
"BA";"MCF (BA)";"02/01/2020";"";"214";"214"
"BE";"Alternative Films (BE)";"25/09/2019";"67 089";"4 889";"71 978"
"BG";"BS Films (BG)";"06/12/2019";"2 928";"1 272";"4 200"
"CH";"Pathé Films (CH)";"06/11/2019";"31 619";"2 674";"34 293"
"CZ";"Aerofilms";"02/01/2020";"3 943";"21 956";"25 899"
"DE";"Constantin Film (DE)";"28/11/2019";"76 551";"35 190";"111 741"
"DK";"FilmBazar";"27/08/2020";"";"12 498";"12 498"
"EE";"VLG Film (EE)";"10/01/2020";"";"1 787";"1 787"
"FI";"Atlantic Film (FI)";"13/03/2020";"";"2 443";"2 443"
"FR";"Pathé Distribution (FR)";"06/11/2019";"1 232 065";"27 423";"1 259 488"
"GB";"Walt Disney (GB)";"22/11/2019";"20 194";"4 195";"24 389"
"GR";"Rosebud";"12/12/2019";"8 076";"3 972";"12 048"
"HU";"Cirko Film";"26/12/2019";"6 568";"20 038";"26 606"
"IS";"Bíó Paradís (IS)";"24/01/2020";"";"2 109";"2 109"
"IT";"I Wonder";"07/11/2019";"243 293";"30 045";"273 338"
"LT";"VLG Film (LT)";"06/12/2019";"4 889";"4 251";"9 140"
"LU";"Alternative Film (LU)";"06/11/2019";"3 080";"";"3 080"
"LV";"VLG Filmas (LV)";"03/01/2020";"";"1 508";"1 508"
"ME";"MCF (ME)";"";"";"57";"57"
"NL";"Paradiso Entertainment (NL)";"02/01/2020";"8 995";"54 117";"63 112"
"NO";"Another World Entertainment";"14/02/2020";"";"3 916";"3 916"
"PL";"Gutek Film";"31/01/2020";"";"54 696";"54 696"
"PT";"Cinemundo (PT)";"19/12/2019";"2 818";"1 771";"4 589"
"RO";"IF-Independenta Film";"16/10/2020";"";"755";"755"
"RU";"Volga (RU)";"28/11/2019";"35 475";"7 030";"42 505"
"SI";"Fivia";"23/07/2020";"";"572";"572"
"SK";"ASFK";"13/02/2020";"50";"4 885";"4 935"
"TR";"BS Dagitim (TR)";"14/02/2020";"";"15 724";"15 724"
"EUR EU";"";"";"1 691 410";"288 571";"1 979 981"
"EUR OBS";"";"";"1 758 504";"320 295";"2 078 799"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019"
" - film_id : 83967"
