"Market";"Distributor";"Release date";"2014";"2015";"2016";"Total since 2014"
"BE";"Victory Productions (BE)";"16/04/2014";"55 011";"";"";"55 011"
"CH";"Praesens Film";"16/04/2014";"13 335";"";"";"13 335"
"ES";"Inopia Films";"17/12/2014";"";"20 109";"";"20 109"
"FR";"Universal Pictures Intl France (FR)";"16/04/2014";"2 358 890";"";"";"2 358 890"
"HR";"2iFilm (HR)";"05/06/2014";"1 669";"";"";"1 669"
"HU";"Cinetel";"16/10/2014";"16 371";"";"57";"16 428"
"IT";"Eagle Pictures";"03/07/2014";"154 938";"";"";"154 938"
"LU";"Victory Productions (LU)";"16/04/2014";"951";"";"";"951"
"PT";"Lanterna de Pedra Filmes";"30/07/2015";"";"1 107";"";"1 107"
"RO";"Parlux Entertainment (RO)";"10/07/2015";"";"1 845";"";"1 845"
"RU";"Central Partnership (RU)";"20/11/2014";"200 381";"443";"";"200 824"
"EUR EU";"";"";"2 587 830";"23 061";"57";"2 610 948"
"EUR OBS";"";"";"2 801 546";"23 504";"57";"2 825 107"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2015, 2014"
" - film_id : 47032"
