"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"2020";"2019-2020";"Total since 2015"
"AT";"Filmladen";"26/02/2016";"";"1 348";"1 374";"1 516";"";"";"";"4 238"
"BE";"Belga Films (BE)";"09/12/2015";"79 639";"37 452";"476";"";"";"";"";"117 567"
"CH";"Pathé Films (CH)";"09/12/2015";"17 512";"17 771";"";"";"";"";"";"35 283"
"CY";"FSF (CY)";"";"";"819";"";"";"";"";"";"819"
"CZ";"Bontonfilm";"28/04/2016";"";"18 598";"1 974";"1 031";"392";"";"392";"21 995"
"DE";"Neue Visionen";"28/01/2016";"";"43 058";"2 914";"572";"811";"37";"848";"47 392"
"EE";"Must Käsi (EE)";"18/12/2015";"1 395";"1 300";"";"";"";"";"";"2 695"
"FR";"Gaumont Distribution";"09/12/2015";"1 216 493";"";"";"";"";"";"";"1 216 493"
"GB";"StudioCanal (GB)";"18/12/2015";"191";"524";"36";"";"";"";"";"751"
"GR";"Odeon (GR)";"31/12/2015";"130";"9 761";"361";"";"";"";"";"10 252"
"HR";"Pa-Dora";"17/03/2016";"";"87";"";"";"";"";"";"87"
"HU";"MTVA";"03/11/2016";"";"15 988";"862";"27";"";"";"";"16 877"
"IT";"Notorious Pictures";"08/12/2015";"348 111";"65 021";"519";"698";"";"";"";"414 349"
"LU";"Belga Film (LU)";"09/12/2015";"1 302";"464";"";"";"";"";"";"1 766"
"ME";"MCF MNE";"01/12/2016";"";"87";"";"";"";"";"";"87"
"PL";"Monolith";"25/12/2015";"156 076";"160 636";"1 704";"";"";"";"";"318 416"
"RU";"Pioneer Film (RU)";"26/07/2018";"";"";"";"62 974";"1 802";"";"1 802";"64 776"
"SI";"Fivia";"24/03/2016";"";"1 297";"";"";"";"";"";"1 297"
"SK";"Bontonfilm (SK)";"11/02/2016";"";"17 266";"173";"166";"";"";"";"17 605"
"TR";"Ozen Film";"13/01/2017";"";"";"7 425";"99";"";"";"";"7 524"
"EUR EU";"";"";"1 803 337";"373 619";"10 393";"4 010";"1 203";"37";"1 240";"2 192 599"
"EUR OBS";"";"";"1 820 849";"391 477";"17 818";"67 083";"3 005";"37";"3 042";"2 300 269"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015"
" - film_id : 63942"
