"Market";"Distributor";"Release date";"2007";"2008";"Total since 2007"
"BE";"Alternative Films (BE)";"24/10/2007";"30 979";"122";"31 101"
"CH";"Pathé Films (CH)";"24/10/2007";"7 569";"149";"7 718"
"FR";"Pathé Distribution (FR)";"24/10/2007";"1 813 519";"";"1 813 519"
"EUR EU";"";"";"1 844 498";"122";"1 844 620"
"EUR OBS";"";"";"1 852 067";"271";"1 852 338"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2008, 2007"
" - film_id : 27897"
