"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2018";"2019";"2020";"2018-2020";"Total since 2013"
"AT";"Constantin Film (AT)";"21/11/2013";"21 357";"";"";"";"";"";"";"";"21 357"
"BG";"Tandem";"13/09/2013";"58 545";"";"";"";"";"";"";"";"58 545"
"CH";"Pathé Films (CH)";"17/10/2013";"32 378";"3";"133";"";"";"";"";"";"32 514"
"CZ";"Bioscop (AQS)";"14/11/2013";"11 608";"3 413";"383";"226";"97";"13";"10";"120";"15 750"
"DE";"Universum Film";"21/11/2013";"111 158";"8 670";"";"";"";"";"";"";"119 828"
"DK";"Scanbox Entertainment (DK)";"24/10/2013";"14 438";"";"";"";"";"";"";"";"14 438"
"EE";"GPI / Bassano";"19/09/2013";"12 290";"";"";"";"";"";"";"";"12 290"
"ES";"Tripictures";"15/11/2013";"135 860";"2 061";"";"";"";"";"";"";"137 921"
"FI";"Scanbox Finland";"29/11/2013";"7 567";"";"";"";"";"";"";"";"7 567"
"FR";"EuropaCorp (FR)";"23/10/2013";"953 340";"";"";"";"";"";"";"";"953 340"
"GB";"Entertainment One Films (GB)";"22/11/2013";"169 436";"1 122";"";"";"";"";"";"";"170 558"
"GR";"Feelgood";"10/10/2013";"48 352";"";"369";"";"";"";"";"";"48 721"
"HR";"MG Film";"26/09/2013";"19 402";"";"";"";"";"";"";"";"19 402"
"HU";"ProVideo";"26/09/2013";"71 702";"";"";"";"";"";"";"";"71 702"
"IS";"Myndform";"13/09/2013";"3 424";"";"";"";"";"";"";"";"3 424"
"IT";"Eagle Pictures";"17/10/2013";"264 578";"2 290";"";"";"";"";"";"";"266 868"
"LT";"Garsų pasaulio įrašai / Warner Bros.";"13/09/2013";"14 352";"";"";"";"";"";"";"";"14 352"
"ME";"";"";"1 606";"";"";"";"";"";"";"";"1 606"
"MK";"Continental Film (MK)";"";"";"613";"";"";"";"";"";"";"613"
"NL";"Independent Films (NL)";"31/10/2013";"52 723";"33";"";"";"";"";"";"";"52 756"
"NO";"Scanbox Entertainment (NO)";"11/10/2013";"9 943";"";"";"";"";"";"";"";"9 943"
"PL";"Vue Movie";"27/12/2013";"55 358";"31 927";"";"";"";"";"";"";"87 285"
"PT";"NOS Lusomundo Audiovisuais (PT)";"14/11/2013";"73 529";"1 040";"";"";"";"";"";"";"74 569"
"RO";"Hollywood Multiplex";"11/10/2013";"71 437";"";"";"";"";"";"";"";"71 437"
"RU";"Paradise";"19/09/2013";"895 000";"";"";"";"";"";"";"";"895 000"
"SE";"Scanbox Entertainment (SE)";"22/11/2013";"10 444";"65";"";"";"";"";"";"";"10 509"
"SI";"Continental Film (SI)";"10/10/2013";"3 810";"";"";"";"";"";"";"";"3 810"
"SK";"Magic Box Slovakia";"07/11/2013";"10 899";"174";"";"23";"";"";"";"";"11 096"
"TR";"UIP (TR)";"27/09/2013";"54 859";"";"";"";"";"";"";"";"54 859"
"EUR EU";"";"";"2 192 185";"50 795";"752";"249";"97";"13";"10";"120";"2 244 101"
"EUR OBS";"";"";"3 189 395";"51 411";"885";"249";"97";"13";"10";"120";"3 242 060"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2016, 2015, 2014, 2013"
" - film_id : 43102"
