"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2011-2020";"Total since 2007"
"AT";"Luna Film";"27/12/2007";"4 722";"29 689";"1 456";"1 028";"";"";"";"";"";"";"";"";"";"";"";"36 895"
"BE";"Santa Fe/Paradiso";"12/12/2007";"14 253";"16 321";"2 160";"76";"";"";"";"";"";"30";"";"";"";"";"30";"32 840"
"BG";"Pro Films (BG)";"19/09/2008";"";"14 359";"2 387";"";"";"";"";"";"";"";"";"";"";"";"";"16 746"
"CH";"Frenetic Films (CH)";"12/12/2007";"19 632";"39 445";"661";"50";"";"";"99";"93";"95";"";"";"9";"";"";"296";"60 084"
"CY";"Rosebud (CY)";"26/03/2009";"";"";"244";"";"";"";"";"";"";"";"";"";"";"";"";"244"
"DE";"StudioCanal (DE)";"27/12/2007";"75 126";"292 947";"10 027";"6 812";"";"";"";"866";"434";"478";"";"176";"228";"109";"2 291";"387 203"
"DK";"Camera Film";"31/10/2008";"";"9 754";"3 099";"9";"";"";"249";"";"";"";"";"";"";"";"249";"13 111"
"EE";"Tallinnfilm (EE)";"09/05/2008";"";"1 726";"18";"408";"19";"";"";"";"";"";"";"";"";"";"19";"2 171"
"ES";"Wanda Vision";"04/11/2008";"";"73 572";"4 585";"202";"";"";"";"141";"111";"141";"";"99";"";"";"492";"78 851"
"FI";"Cinema Mondo";"08/02/2008";"";"23 344";"1 182";"";"48";"";"";"";"";"";"";"";"";"";"48";"24 574"
"FR";"Walt Disney Studios (FR)";"12/12/2007";"909 617";"929 963";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 839 580"
"GB";"Pathé Distribution (GB)";"08/08/2008";"";"126 733";"";"";"";"";"";"35";"";"";"";"";"";"";"35";"126 768"
"GR";"Rosebud";"17/04/2008";"";"23 830";"";"295";"";"";"";"";"";"";"";"";"";"";"";"24 125"
"HU";"Best Hollywood";"03/04/2008";"";"8 279";"";"5";"";"";"";"";"";"";"";"";"";"";"";"8 284"
"IE";"Pathé Distribution (IE)";"08/08/2008";"";"32 944";"";"";"";"";"";"";"";"";"";"";"";"";"";"32 944"
"IT";"Lucky Red";"21/03/2008";"";"409 281";"4 399";"2 900";"143";"35";"84";"";"";"";"20";"";"187";"";"469";"417 049"
"LT";"ACME / Wild Bunch";"16/05/2008";"";"1 259";"";"";"3";"";"";"";"";"";"";"";"";"";"3";"1 262"
"LU";"Paradiso Entertainment (LU)";"12/12/2007";"";"1 549";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 549"
"LV";"Acme (LV)";"";"631";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"631"
"NL";"Paradiso Entertainment (NL)";"14/02/2008";"";"8 023";"1 881";"3 360";"78";"";"";"";"";"";"";"";"";"";"78";"13 342"
"NO";"Oro Film";"07/03/2008";"";"23 257";"47";"4";"";"";"";"";"";"";"";"";"";"";"";"23 308"
"PL";"SPI Poland";"16/05/2008";"";"22 341";"2 125";"";"";"";"";"";"";"";"";"";"";"";"";"24 466"
"RO";"IF-Independenta Film";"10/04/2009";"";"";"1 371";"90";"";"317";"34";"234";"";"";"";"";"";"";"585";"2 046"
"SE";"Folkets Bio";"17/10/2008";"";"3 298";"1 147";"";"18";"14";"";"";"";"";"";"";"";"";"32";"4 477"
"SI";"Fivia";"03/04/2009";"";"";"4 599";"1 008";"223";"443";"289";"536";"174";"60";"12";"236";"222";"";"2 195";"7 802"
"TR";"Pinema";"04/04/2008";"";"19 479";"282";"";"";"";"";"";"";"";"";"";"";"";"";"19 761"
"EUR EU";"";"";"1 004 349";"2 029 212";"40 680";"16 193";"532";"809";"656";"1 812";"719";"709";"32";"511";"637";"109";"6 526";"3 096 960"
"EUR OBS";"";"";"1 023 981";"2 111 393";"41 670";"16 247";"532";"809";"755";"1 905";"814";"709";"32";"520";"637";"109";"6 822";"3 200 113"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007"
" - film_id : 26948"
