"Market";"Distributor";"Release date";"2014";"Total since 2014"
"BE";"Victory Productions (BE)";"26/03/2014";"67 896";"67 896"
"CH";"Praesens Film";"12/03/2014";"28 338";"28 338"
"FR";"SND Films";"12/03/2014";"1 934 069";"1 934 069"
"LU";"Victory Productions (LU)";"26/03/2014";"1 246";"1 246"
"EUR EU";"";"";"2 003 211";"2 003 211"
"EUR OBS";"";"";"2 031 549";"2 031 549"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014"
" - film_id : 47918"
