"Market";"Distributor";"Release date";"2007";"2008";"Total since 2007"
"AT";"20th Century Fox (AT)";"14/12/2007";"69 482";"19 172";"88 654"
"BE";"20th Century Fox (BE)";"28/11/2007";"101 346";"";"101 346"
"CH";"20th Century Fox (CH)";"13/12/2007";"43 842";"15 146";"58 988"
"CZ";"Bontonfilm";"13/12/2007";"19 885";"7 655";"27 540"
"DE";"20th Century Fox (DE)";"13/12/2007";"485 982";"124 906";"610 888"
"DK";"SF Film (DK)";"30/11/2007";"72 260";"7 917";"80 177"
"EE";"";"01/12/2007";"11 700";"";"11 700"
"ES";"Hispano Foxfilms";"27/11/2007";"375 726";"";"375 726"
"FI";"SF Film Finland [FS Film]";"14/12/2007";"13 639";"8 506";"22 145"
"FR";"EuropaCorp (FR)";"26/12/2007";"";"790 387";"790 387"
"GB";"20th Century Fox (GB)";"30/11/2007";"712 029";"14 645";"726 674"
"HU";"Intercom";"22/11/2007";"50 910";"";"50 910"
"IS";"";"";"11 323";"789";"12 112"
"IT";"20th Century Fox (IT)";"07/12/2007";"212 936";"995";"213 931"
"LV";"";"";"23 171";"";"23 171"
"NL";"20th Century Fox (NL)";"29/11/2007";"71 908";"4 396";"76 304"
"PL";"Imperial Cinepix";"30/11/2007";"139 795";"5 209";"145 004"
"PT";"CLMC Multimedia";"29/11/2007";"71 195";"1 504";"72 699"
"RO";"Odeon Cineplex";"";"19 417";"5 805";"25 222"
"SI";"Continental Film (SI)";"29/11/2007";"13 274";"2 152";"15 426"
"SK";"Tatra Film";"13/12/2007";"9 755";"4 608";"14 363"
"TR";"Ozen Film";"07/12/2007";"78 632";"8 013";"86 645"
"EUR EU";"";"";"2 474 410";"997 857";"3 472 267"
"EUR OBS";"";"";"2 608 207";"1 021 805";"3 630 012"
"US_CA";"20th Century Fox (US)";"21/11/2007";"5 704 752";"";"5 704 752"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2008, 2007"
" - film_id : 28272"
